"","X","year","week.of.year","no.fox.families","no.cub.foxes","no.breeding.females","no.suboordinate.females","no.alpha.males","no.suboordinate.males","no.disperser.females","no.disperser.males","no.foxes","foxes.less1","foxes.1.2","foxes.2.3","foxes.3.4","foxes.4.5","foxes.5.6","foxes.6.7","foxes.more7","run","HRsize"
"1",1,1,1,219,0,204,0,211,0,211,233,859,80,347,348,84,0,0,0,0,1,45
"2",2,1,5,218,0,210,0,206,0,190,218,824,48,338,335,103,0,0,0,0,1,45
"3",3,1,9,220,0,208,0,210,0,176,192,786,26,317,321,122,0,0,0,0,1,45
"4",4,1,13,219,961,212,0,209,0,158,176,1716,961,300,315,140,0,0,0,0,1,45
"5",5,1,17,219,909,204,0,209,0,144,160,1626,909,267,305,145,0,0,0,0,1,45
"6",6,1,21,220,856,210,0,209,0,124,145,1544,856,242,295,151,0,0,0,0,1,45
"7",7,1,25,220,0,207,374,207,428,114,127,1457,802,201,290,164,0,0,0,0,1,45
"8",8,1,29,220,0,209,350,210,409,96,106,1380,759,175,273,173,0,0,0,0,1,45
"9",9,1,33,220,0,210,330,209,394,86,89,1318,724,151,254,189,0,0,0,0,1,45
"10",10,1,37,220,0,203,262,207,248,101,148,1169,610,127,239,193,0,0,0,0,1,45
"11",11,1,41,220,0,212,215,209,183,105,176,1100,565,102,230,191,12,0,0,0,1,45
"12",12,1,45,220,0,214,177,210,135,115,186,1037,523,83,216,186,29,0,0,0,1,45
"13",13,1,49,220,0,211,149,212,102,120,194,988,497,61,202,192,36,0,0,0,1,45
"14",14,2,1,220,0,211,122,207,70,124,203,937,469,41,200,179,48,0,0,0,1,45
"15",15,2,5,220,0,200,102,207,51,122,200,882,447,22,183,171,59,0,0,0,1,45
"16",16,2,9,220,0,210,92,206,48,106,175,837,419,10,175,166,67,0,0,0,1,45
"17",17,2,13,218,999,206,85,205,43,97,158,1793,999,402,159,161,72,0,0,0,1,45
"18",18,2,17,217,947,204,80,206,37,86,140,1700,947,380,141,159,73,0,0,0,1,45
"19",19,2,21,217,883,203,75,208,35,75,123,1602,883,369,123,149,78,0,0,0,1,45
"20",20,2,25,219,0,204,470,206,467,58,114,1519,833,354,107,137,88,0,0,0,1,45
"21",21,2,29,219,0,203,443,212,438,53,100,1449,790,341,93,130,95,0,0,0,1,45
"22",22,2,33,219,0,205,406,200,413,48,89,1361,733,324,81,124,99,0,0,0,1,45
"23",23,2,37,219,0,200,330,204,258,71,145,1208,628,301,67,109,103,0,0,0,1,45
"24",24,2,41,219,0,206,276,207,189,79,177,1134,586,284,57,99,101,7,0,0,1,45
"25",25,2,45,219,0,203,241,211,135,86,204,1080,549,279,45,96,95,16,0,0,1,45
"26",26,2,49,219,0,211,208,211,104,93,215,1042,522,274,35,93,99,19,0,0,1,45
"27",27,3,1,219,0,206,174,210,83,98,216,987,484,265,24,91,99,24,0,0,1,45
"28",28,3,5,219,0,208,156,208,62,89,211,934,452,254,14,88,96,30,0,0,1,45
"29",29,3,9,219,0,212,145,204,56,76,193,886,428,241,7,82,92,36,0,0,1,45
"30",30,3,13,218,938,210,136,213,46,68,180,1791,938,412,228,83,90,40,0,0,1,45
"31",31,3,17,219,888,210,129,200,42,62,168,1699,888,402,207,75,87,40,0,0,1,45
"32",32,3,21,219,837,201,119,206,36,57,146,1602,837,388,195,59,82,41,0,0,1,45
"33",33,3,25,219,0,208,507,209,416,47,133,1520,789,368,187,51,80,45,0,0,1,45
"34",34,3,29,219,0,203,472,203,396,38,122,1434,744,358,174,42,66,50,0,0,1,45
"35",35,3,33,219,0,204,454,207,376,30,109,1380,713,347,167,36,59,58,0,0,1,45
"36",36,3,37,219,0,201,353,207,221,55,170,1207,587,322,159,24,53,62,0,0,1,45
"37",37,3,41,218,0,209,299,209,152,71,198,1138,551,305,152,20,47,60,3,0,1,45
"38",38,3,45,220,0,206,249,204,112,94,216,1081,533,282,143,17,44,53,9,0,1,45
"39",39,3,49,220,0,209,203,204,79,100,222,1017,505,260,136,14,39,52,11,0,1,45
"40",40,4,1,218,0,209,170,201,48,101,218,947,468,248,126,10,36,47,12,0,1,45
"41",41,4,5,220,0,204,146,214,35,110,203,912,455,235,123,4,37,45,13,0,1,45
"42",42,4,9,220,0,212,135,215,31,100,189,882,440,227,121,2,35,43,14,0,1,45
"43",43,4,13,218,1011,205,127,207,30,93,178,1851,1011,422,215,115,35,34,19,0,1,45
"44",44,4,17,220,962,211,118,205,28,79,161,1764,962,402,208,107,32,34,19,0,1,45
"45",45,4,21,220,918,205,105,203,25,71,140,1667,918,376,191,102,27,34,19,0,1,45
"46",46,4,25,220,0,206,513,211,469,63,124,1586,862,365,183,97,23,35,21,0,1,45
"47",47,4,29,220,0,206,482,212,444,55,110,1509,814,352,175,92,20,34,22,0,1,45
"48",48,4,33,220,0,204,450,206,423,48,95,1426,770,333,165,90,15,29,24,0,1,45
"49",49,4,37,220,0,197,363,213,252,78,156,1259,641,312,154,85,11,28,28,0,1,45
"50",50,4,41,220,0,214,289,208,179,96,202,1188,599,295,149,82,10,26,26,1,1,45
"51",51,4,45,220,0,211,250,209,134,106,213,1123,557,285,141,79,9,26,23,3,1,45
"52",52,4,49,220,0,209,218,213,83,121,232,1076,528,277,136,77,6,26,22,4,1,45
"53",53,5,1,220,0,208,177,209,49,129,234,1006,487,262,133,70,5,25,18,6,1,45
"54",54,5,5,220,0,200,151,208,41,130,225,955,467,247,123,66,2,25,18,7,1,45
"55",55,5,9,220,0,209,132,210,39,119,196,905,438,236,118,62,0,26,17,8,1,45
"56",56,5,13,218,948,210,115,209,36,107,180,1805,948,412,223,113,59,24,16,10,1,45
"57",57,5,17,220,906,207,107,206,34,101,162,1723,906,392,216,106,55,22,17,9,1,45
"58",58,5,21,219,859,201,99,206,30,89,149,1633,859,373,202,101,52,18,20,8,1,45
"59",59,5,25,220,0,201,478,206,453,70,133,1541,814,353,190,93,48,14,20,9,1,45
"60",60,5,29,220,0,206,448,207,419,56,122,1458,766,333,187,87,46,12,19,8,1,45
"61",61,5,33,220,0,204,425,213,393,47,110,1392,722,324,177,85,46,11,16,11,1,45
"62",62,5,37,220,0,200,339,203,244,63,166,1215,596,298,162,77,46,8,16,12,1,45
"63",63,5,41,220,0,208,289,214,177,73,193,1154,564,280,158,75,43,7,13,14,1,45
"64",64,5,45,220,0,213,240,203,128,86,206,1076,528,261,146,68,41,7,12,13,1,45
"65",65,5,49,220,0,207,216,208,84,97,210,1022,503,248,137,64,38,5,14,13,1,45
