"","year","week-of-year","no-fox-families","no-cub-foxes","no-breeding-females","no-suboordinate-females","no-alpha-males","no-suboordinate-males","no-disperser-females","no-disperser-males","no-foxes","foxes.less1","foxes.1.2","foxes.2.3","foxes.3.4","foxes.4.5","foxes.5.6","foxes.6.7","foxes.more7"
"1",1,1,216,0,205,0,201,0,252,211,869,80,339,355,95,0,0,0,0
"2",1,5,216,0,209,0,211,0,226,177,823,54,322,329,118,0,0,0,0
"3",1,9,213,0,206,0,205,0,210,162,783,27,311,311,134,0,0,0,0
"4",1,13,216,963,202,0,208,0,191,147,1711,963,306,283,159,0,0,0,0
"5",1,17,217,905,206,0,210,0,169,132,1622,905,279,251,187,0,0,0,0
"6",1,21,217,869,210,0,205,0,155,119,1558,869,256,238,195,0,0,0,0
"7",1,25,217,0,204,426,207,403,147,101,1488,829,228,225,206,0,0,0,0
"8",1,29,217,0,207,398,205,373,130,89,1402,771,200,211,220,0,0,0,0
"9",1,33,217,0,206,375,207,359,114,73,1334,734,171,206,223,0,0,0,0
"10",1,37,217,0,202,311,206,251,143,136,1249,677,144,201,227,0,0,0,0
"11",1,41,217,0,207,259,204,175,139,177,1161,624,123,186,224,4,0,0,0
"12",1,45,217,0,206,217,207,123,151,210,1114,601,92,193,207,21,0,0,0
"13",1,49,217,0,199,189,201,89,147,214,1039,559,73,178,192,37,0,0,0
"14",2,1,217,0,203,159,208,64,143,205,982,530,52,176,173,51,0,0,0
"15",2,5,217,0,208,133,207,55,146,200,949,512,38,167,164,68,0,0,0
"16",2,9,216,0,201,120,201,48,137,183,890,481,19,164,155,71,0,0,0
"17",2,13,215,976,206,112,207,39,125,168,1833,976,459,169,146,83,0,0,0
"18",2,17,215,926,206,99,205,37,113,153,1739,926,434,156,128,95,0,0,0
"19",2,21,215,878,201,92,201,34,105,138,1649,878,415,141,116,99,0,0,0
"20",2,25,216,0,203,509,202,425,94,123,1556,816,399,126,111,104,0,0,0
"21",2,29,216,0,205,477,204,392,82,108,1468,759,384,106,105,114,0,0,0
"22",2,33,216,0,203,450,207,367,73,94,1394,716,366,89,105,118,0,0,0
"23",2,37,216,0,200,381,206,241,95,179,1302,663,340,75,103,121,0,0,0
"24",2,41,215,0,202,324,208,181,119,215,1249,641,326,62,99,117,4,0,0
"25",2,45,216,0,206,272,205,135,126,239,1183,607,310,43,106,102,15,0,0
"26",2,49,216,0,202,228,205,96,128,259,1118,573,297,33,97,92,26,0,0
"27",3,1,216,0,201,198,206,70,131,261,1067,555,282,22,90,84,34,0,0
"28",3,5,216,0,206,159,203,50,127,254,999,522,263,15,83,75,41,0,0
"29",3,9,216,0,204,151,209,42,115,232,953,491,257,8,80,73,44,0,0
"30",3,13,216,950,208,142,201,39,100,218,1858,950,469,242,82,66,49,0,0
"31",3,17,215,887,206,133,205,35,91,196,1753,887,450,226,76,60,54,0,0
"32",3,21,216,832,208,120,204,32,83,175,1654,832,430,214,65,58,55,0,0
"33",3,25,216,0,205,497,205,424,76,159,1566,786,410,200,57,54,59,0,0
"34",3,29,216,0,203,466,201,393,68,145,1476,737,384,192,50,49,64,0,0
"35",3,33,216,0,202,437,206,371,61,125,1402,695,368,185,41,49,64,0,0
"36",3,37,216,0,202,382,201,285,79,187,1336,678,348,166,34,47,63,0,0
"37",3,41,216,0,201,317,206,208,103,222,1257,635,333,155,31,45,55,3,0
"38",3,45,216,0,202,273,204,149,118,254,1200,612,312,151,18,47,49,11,0
"39",3,49,216,0,203,219,206,111,144,254,1137,577,296,146,15,42,46,15,0
"40",4,1,216,0,206,190,204,78,152,258,1088,557,282,136,10,44,37,22,0
"41",4,5,216,0,207,162,199,57,156,250,1031,531,268,125,6,44,35,22,0
"42",4,9,216,0,203,148,209,51,146,228,985,505,257,121,3,41,36,22,0
"43",4,13,216,1051,205,138,206,47,136,209,1992,1051,483,246,111,42,35,24,0
"44",4,17,216,1001,200,126,206,42,122,197,1894,1001,457,237,107,39,28,25,0
"45",4,21,216,948,202,108,202,39,109,181,1789,948,433,222,98,35,26,27,0
"46",4,25,216,0,206,541,204,490,93,162,1696,900,413,208,95,32,23,25,0
"47",4,29,216,0,204,505,205,471,83,144,1612,857,389,201,92,28,21,24,0
"48",4,33,216,0,202,468,203,443,70,132,1518,803,370,188,87,22,25,23,0
"49",4,37,216,0,203,394,202,312,113,211,1435,755,357,176,78,20,25,24,0
"50",4,41,216,0,199,325,205,224,140,267,1360,718,338,167,71,17,23,26,0
"51",4,45,216,0,202,262,207,168,158,297,1294,682,322,159,69,11,23,23,5
"52",4,49,216,0,206,210,208,129,165,304,1222,631,310,153,68,9,23,22,6
"53",5,1,216,0,204,171,209,90,170,310,1154,589,295,146,67,3,26,18,10
"54",5,5,216,0,203,144,205,72,176,303,1103,557,289,140,61,2,25,19,10
"55",5,9,216,0,204,127,204,63,164,287,1049,532,277,132,57,2,19,21,9
"56",5,13,216,973,207,116,202,58,152,262,1970,973,510,260,127,53,20,17,10
"57",5,17,216,934,208,111,208,51,136,245,1893,934,494,247,122,50,20,15,11
"58",5,21,216,888,205,101,202,48,122,234,1800,888,470,237,118,47,16,15,9
"59",5,25,216,0,206,522,205,442,109,208,1692,831,443,224,111,47,14,11,11
"60",5,29,216,0,201,497,203,417,99,185,1602,786,426,209,103,44,13,9,12
"61",5,33,216,0,206,461,204,393,84,168,1516,740,405,200,99,40,11,11,10
"62",5,37,216,0,200,394,203,290,115,250,1452,719,382,193,91,37,10,10,10
"63",5,41,216,0,203,338,208,197,132,295,1373,671,367,185,88,34,9,9,10
"64",5,45,216,0,202,293,202,140,154,309,1300,634,354,169,85,33,5,10,10
"65",5,49,216,0,206,235,210,101,169,309,1230,593,338,162,82,31,4,11,9
"66",6,1,216,0,211,195,205,73,177,306,1167,549,328,157,78,31,2,13,9
"67",6,5,216,0,205,168,203,56,180,296,1108,524,312,144,74,31,1,13,9
"68",6,9,215,0,205,151,205,44,163,273,1041,495,285,141,71,27,1,12,9
"69",6,13,216,948,207,143,208,39,150,258,1953,948,480,276,134,67,26,13,9
"70",6,17,216,899,205,132,205,35,140,231,1847,899,450,263,131,60,23,13,8
"71",6,21,216,848,206,121,202,34,125,207,1743,848,427,249,118,60,22,10,9
"72",6,25,216,0,204,491,204,450,116,188,1653,801,406,239,110,58,22,7,10
"73",6,29,216,0,209,455,207,417,102,171,1561,746,389,227,106,57,21,6,9
"74",6,33,216,0,204,432,204,393,90,149,1472,707,365,211,101,54,20,4,10
"75",6,37,216,0,210,364,211,271,109,219,1384,654,342,204,99,53,18,4,10
"76",6,41,216,0,209,308,205,200,137,256,1315,615,326,196,96,51,18,4,9
"77",6,45,216,0,209,268,204,153,148,271,1253,590,303,188,94,50,16,2,10
"78",6,49,216,0,205,229,206,109,164,283,1196,566,291,175,92,46,15,2,9
"79",7,1,216,0,200,199,202,84,166,270,1121,523,282,157,92,43,14,1,9
"80",7,5,216,0,208,163,207,66,165,257,1066,498,269,148,85,43,13,0,10
"81",7,9,216,0,204,153,202,59,150,237,1005,467,249,145,79,43,13,0,9
"82",7,13,216,943,204,143,212,52,131,218,1903,943,445,238,139,74,42,13,9
"83",7,17,216,891,208,127,205,50,119,205,1805,891,421,229,132,73,40,11,8
"84",7,21,216,845,209,117,201,46,114,185,1717,845,404,216,126,68,40,10,8
"85",7,25,216,0,203,521,207,422,108,165,1626,789,391,204,122,66,37,10,7
"86",7,29,216,0,207,495,204,396,96,150,1548,747,375,195,118,64,34,9,6
"87",7,33,216,0,209,458,209,376,86,128,1466,704,353,187,113,61,33,9,6
"88",7,37,216,0,210,402,209,273,121,201,1416,684,338,179,108,61,31,9,6
"89",7,41,216,0,210,339,206,197,141,249,1342,641,321,172,105,58,30,9,6
"90",7,45,216,0,210,293,211,134,156,282,1286,610,302,171,105,54,29,9,6
"91",7,49,215,0,204,260,205,91,165,299,1224,582,285,166,100,49,28,9,5
"92",8,1,216,0,208,220,209,71,178,292,1178,560,276,162,94,46,26,9,5
"93",8,5,216,0,205,191,204,59,184,286,1129,531,270,159,87,45,25,8,4
"94",8,9,216,0,205,172,209,51,169,258,1064,496,254,151,82,45,24,8,4
"95",8,13,216,975,196,156,207,46,158,247,1985,975,472,244,143,76,43,22,10
"96",8,17,216,922,200,135,201,42,144,229,1873,922,451,227,135,67,39,22,10
"97",8,21,216,876,202,124,201,38,127,211,1779,876,431,209,132,61,38,22,10
"98",8,25,216,0,204,491,199,479,115,191,1679,821,411,199,122,60,35,21,10
"99",8,29,216,0,202,458,201,451,102,168,1582,768,399,185,115,53,34,18,10
"100",8,33,216,0,208,426,206,434,89,145,1508,737,371,176,112,51,34,18,9
"101",8,37,216,0,204,374,209,325,110,214,1436,689,359,167,111,51,33,17,9
"102",8,41,216,0,207,318,203,226,126,261,1341,632,337,156,109,51,32,17,7
"103",8,45,216,0,199,280,204,169,135,272,1259,593,321,146,99,47,30,16,7
"104",8,49,216,0,208,234,206,121,144,287,1200,556,313,141,95,43,29,16,7
"105",9,1,216,0,203,202,204,85,161,293,1148,536,298,133,90,41,28,15,7
"106",9,5,216,0,203,171,206,63,165,274,1082,504,286,121,85,40,25,14,7
"107",9,9,216,0,202,154,203,57,140,260,1016,473,272,111,77,39,24,13,7
"108",9,13,216,979,205,139,211,50,126,244,1954,979,454,261,106,75,36,23,20
"109",9,17,216,931,205,127,209,48,117,227,1864,931,438,244,101,74,34,23,19
"110",9,21,216,874,204,118,205,46,110,208,1765,874,417,232,98,69,33,23,19
"111",9,25,216,0,209,538,210,448,99,187,1691,834,399,222,95,68,32,22,19
"112",9,29,216,0,204,505,212,422,91,170,1604,787,380,211,89,64,32,22,19
"113",9,33,216,0,200,471,205,401,80,162,1519,740,360,207,82,62,28,21,19
"114",9,37,216,0,205,394,205,286,106,249,1445,696,351,196,78,59,27,20,18
"115",9,41,216,0,199,328,203,206,132,269,1337,637,328,181,73,56,26,20,16
"116",9,45,216,0,205,277,207,148,152,290,1279,610,317,174,70,53,25,16,14
"117",9,49,216,0,204,238,201,96,168,302,1209,576,303,163,67,47,24,15,14
"118",10,1,216,0,201,211,201,67,164,291,1135,545,281,153,62,44,23,14,13
"119",10,5,216,0,207,162,205,48,182,286,1090,516,274,149,61,41,22,14,13
"120",10,9,216,0,204,146,205,43,170,265,1033,487,265,137,59,38,21,13,13
"121",10,13,216,977,206,138,204,40,154,246,1965,977,465,258,130,56,34,20,25
"122",10,17,216,919,204,125,206,38,144,222,1858,919,448,243,119,52,32,20,25
"123",10,21,216,869,207,116,206,34,134,211,1777,869,436,233,118,50,30,19,22
"124",10,25,216,0,206,510,203,442,121,191,1673,818,406,222,115,46,26,18,22
"125",10,29,216,0,207,481,203,411,111,172,1585,772,385,212,108,45,23,18,22
"126",10,33,216,0,210,460,202,398,100,153,1523,746,368,205,97,44,23,18,22
"127",10,37,216,0,210,395,208,292,136,225,1466,714,360,198,91,44,22,16,21
"128",10,41,216,0,199,342,206,223,163,275,1408,695,346,179,89,43,21,14,21
"129",10,45,215,0,205,289,203,165,181,297,1340,669,322,171,81,42,21,13,21
"130",10,49,215,0,209,249,202,118,193,314,1285,644,308,168,73,41,20,11,20
"131",11,1,214,0,202,206,206,82,199,316,1211,613,288,154,72,38,19,9,18
"132",11,5,215,0,202,166,205,62,205,311,1151,583,272,141,71,38,19,9,18
"133",11,9,215,0,198,154,209,56,189,298,1104,557,266,135,66,37,19,7,17
"134",11,13,215,998,196,139,204,53,172,274,2036,998,528,242,129,64,34,18,23
"135",11,17,214,938,201,125,207,48,151,255,1925,938,501,227,124,62,33,17,23
"136",11,21,215,888,207,114,203,42,140,244,1838,888,488,219,119,53,32,16,23
"137",11,25,215,0,204,543,206,447,135,218,1753,844,466,212,112,50,31,15,23
"138",11,29,215,0,209,508,208,427,123,202,1677,797,456,203,108,48,30,14,21
"139",11,33,215,0,203,477,206,403,115,189,1593,750,439,194,99,47,30,14,20
"140",11,37,215,0,204,406,204,287,150,250,1501,711,412,177,96,45,29,13,18
"141",11,41,215,0,202,352,208,205,169,284,1420,673,389,171,91,40,26,13,17
"142",11,45,215,0,203,293,208,150,191,303,1348,639,367,162,84,40,26,13,17
"143",11,49,215,0,209,251,201,109,199,321,1290,616,354,149,78,38,26,12,17
"144",12,1,215,0,203,214,207,80,207,320,1231,587,342,138,73,37,26,11,17
"145",12,5,215,0,206,173,204,56,213,306,1158,537,330,132,70,37,25,10,17
"146",12,9,215,0,201,157,204,52,193,279,1086,504,313,120,68,35,22,10,14
"147",12,13,215,976,206,140,207,48,175,260,2012,976,486,295,113,65,33,21,23
"148",12,17,214,924,200,124,204,43,167,240,1902,924,463,277,104,61,31,20,22
"149",12,21,214,864,204,114,202,38,157,221,1800,864,445,266,98,59,28,19,21
"150",12,25,214,0,208,533,206,433,140,195,1715,826,421,250,93,58,27,19,21
"151",12,29,214,0,196,506,203,411,130,177,1623,784,396,236,88,55,26,18,20
"152",12,33,214,0,210,469,207,390,113,162,1551,741,377,230,86,54,26,17,20
"153",12,37,214,0,204,407,204,285,135,236,1471,689,363,225,83,50,26,16,19
"154",12,41,214,0,212,343,202,214,157,273,1401,653,348,214,81,48,23,15,19
"155",12,45,214,0,199,295,203,151,176,302,1326,621,331,200,78,45,20,15,16
"156",12,49,214,0,203,255,205,108,184,310,1265,587,319,193,74,45,17,14,16
"157",13,1,214,0,198,213,205,79,193,322,1210,567,302,181,70,43,17,14,16
"158",13,5,213,0,195,182,207,62,190,321,1157,547,286,170,66,43,16,13,16
"159",13,9,214,0,205,168,207,58,173,305,1116,523,280,165,64,41,15,13,15
"160",13,13,214,987,202,154,210,51,166,283,2053,987,495,272,159,62,36,14,28
"161",13,17,214,935,204,137,207,50,152,260,1945,935,467,264,146,60,36,10,27
"162",13,21,214,889,202,125,207,47,138,245,1853,889,448,250,138,59,35,10,24
"163",13,25,214,0,205,513,208,476,124,229,1755,827,433,236,136,56,35,9,23
"164",13,29,214,0,205,477,205,455,114,214,1670,781,416,227,127,53,35,8,23
"165",13,33,214,0,206,434,203,435,103,196,1577,735,397,214,118,49,34,7,23
"166",13,37,214,0,203,365,202,317,130,272,1489,700,363,206,113,48,31,7,21
"167",13,41,214,0,204,308,202,224,146,318,1402,649,350,195,105,46,31,7,19
"168",13,45,214,0,204,258,210,152,158,347,1329,601,346,183,101,45,30,7,16
"169",13,49,214,0,204,217,203,108,164,353,1249,561,323,174,98,43,28,6,16
"170",14,1,214,0,205,182,205,84,168,348,1192,534,310,164,94,42,27,5,16
"171",14,5,214,0,202,149,204,55,174,335,1119,487,296,160,90,40,28,4,14
"172",14,9,214,0,204,138,197,49,162,309,1059,461,281,151,84,36,28,4,14
"173",14,13,214,968,202,127,201,43,148,282,1971,968,434,267,145,79,35,26,17
"174",14,17,214,908,201,119,205,40,137,262,1872,908,415,260,138,76,35,24,16
"175",14,21,214,855,199,108,204,38,126,239,1769,855,395,242,133,73,33,23,15
"176",14,25,213,0,201,506,200,425,117,226,1675,803,380,235,123,67,31,21,15
"177",14,29,213,0,202,476,201,394,106,206,1585,757,366,217,115,64,30,21,15
"178",14,33,213,0,205,441,201,371,92,191,1501,712,352,204,109,63,28,20,13
"179",14,37,213,0,203,366,199,265,124,246,1403,663,330,192,104,59,26,17,12
"180",14,41,213,0,198,300,202,192,141,283,1316,621,305,184,99,56,24,15,12
"181",14,45,213,0,199,249,201,134,152,295,1230,578,290,168,97,51,22,12,12
"182",14,49,213,0,204,214,202,92,158,293,1163,545,275,157,92,49,22,12,11
"183",15,1,213,0,204,173,199,75,165,294,1110,517,265,150,86,48,21,12,11
"184",15,5,213,0,203,153,199,49,164,283,1051,495,251,139,79,44,21,11,11
"185",15,9,213,0,206,137,201,40,149,262,995,466,237,133,73,44,21,11,10
"186",15,13,213,932,205,128,208,36,138,239,1886,932,446,224,129,72,43,19,21
"187",15,17,212,883,200,122,207,35,126,226,1799,883,430,213,124,68,41,19,21
"188",15,21,213,838,198,112,200,33,114,210,1705,838,410,200,118,65,37,17,20
"189",15,25,213,0,204,508,198,406,97,188,1601,783,385,192,114,59,34,17,17
"190",15,29,213,0,200,470,208,380,85,168,1511,737,362,179,111,56,33,16,17
"191",15,33,213,0,200,438,202,358,77,155,1430,691,348,174,105,51,32,16,13
