"","year","week-of-year","no-fox-families","no-cub-foxes","no-breeding-females","no-suboordinate-females","no-alpha-males","no-suboordinate-males","no-disperser-females","no-disperser-males","no-foxes","foxes.less1","foxes.1.2","foxes.2.3","foxes.3.4","foxes.4.5","foxes.5.6","foxes.6.7","foxes.more7"
"1",1,1,219,0,210,0,210,0,240,210,870,67,349,361,93,0,0,0,0
"2",1,5,218,0,204,0,211,0,219,193,827,41,327,347,112,0,0,0,0
"3",1,9,220,0,216,0,214,0,195,174,799,21,308,337,133,0,0,0,0
"4",1,13,220,974,206,0,211,0,178,163,1732,974,299,316,143,0,0,0,0
"5",1,17,220,933,216,0,209,0,155,146,1659,933,260,301,165,0,0,0,0
"6",1,21,220,885,212,0,212,0,149,130,1588,885,238,281,184,0,0,0,0
"7",1,25,221,0,210,419,210,410,129,117,1495,829,205,261,200,0,0,0,0
"8",1,29,221,0,211,395,207,388,109,102,1412,783,176,239,214,0,0,0,0
"9",1,33,221,0,203,371,204,366,91,88,1323,737,142,218,226,0,0,0,0
"10",1,37,221,0,200,289,210,232,114,141,1186,639,114,203,230,0,0,0,0
"11",1,41,221,0,201,244,209,165,117,172,1108,600,84,191,224,9,0,0,0
"12",1,45,221,0,214,205,213,130,121,187,1070,586,62,192,200,30,0,0,0
"13",1,49,221,0,211,172,214,89,122,193,1001,535,47,182,196,41,0,0,0
"14",2,1,221,0,208,146,213,62,122,205,956,511,32,179,186,48,0,0,0
"15",2,5,221,0,213,118,211,45,128,193,908,481,20,170,179,58,0,0,0
"16",2,9,220,0,210,103,210,43,114,173,853,448,11,157,168,69,0,0,0
"17",2,13,220,983,210,92,212,40,107,159,1803,983,431,150,160,79,0,0,0
"18",2,17,220,912,203,80,211,35,96,148,1685,912,405,132,147,89,0,0,0
"19",2,21,221,862,202,74,207,31,85,129,1590,862,384,119,132,93,0,0,0
"20",2,25,221,0,203,459,210,455,73,110,1510,821,363,102,120,104,0,0,0
"21",2,29,221,0,208,428,200,428,63,93,1420,772,347,83,117,101,0,0,0
"22",2,33,221,0,205,406,209,399,55,75,1349,733,331,75,106,104,0,0,0
"23",2,37,221,0,211,327,212,236,74,137,1197,614,316,62,100,105,0,0,0
"24",2,41,221,0,204,291,210,173,100,162,1140,587,301,44,97,106,5,0,0
"25",2,45,221,0,202,244,205,127,108,184,1070,553,282,31,100,88,16,0,0
"26",2,49,221,0,207,205,211,96,107,187,1013,519,267,23,100,83,21,0,0
"27",3,1,221,0,209,171,204,72,111,186,953,492,253,13,92,79,24,0,0
"28",3,5,221,0,213,146,210,56,112,173,910,471,241,7,81,82,28,0,0
"29",3,9,221,0,213,137,212,52,103,152,869,452,234,4,72,76,31,0,0
"30",3,13,221,980,213,126,210,46,93,138,1806,980,429,222,65,71,39,0,0
"31",3,17,221,932,206,119,212,44,87,122,1722,932,413,210,57,65,45,0,0
"32",3,21,221,879,215,110,209,41,77,101,1632,879,398,198,51,58,48,0,0
"33",3,25,221,0,210,514,206,444,72,87,1533,820,381,188,41,52,51,0,0
"34",3,29,221,0,204,482,204,419,66,77,1452,777,360,179,32,51,53,0,0
"35",3,33,221,0,201,445,205,402,53,63,1369,738,332,170,30,46,53,0,0
"36",3,37,221,0,202,352,209,243,82,116,1204,621,302,158,24,46,53,0,0
"37",3,41,220,0,206,291,212,165,94,144,1112,566,280,151,18,43,52,2,0
"38",3,45,219,0,208,248,210,133,109,145,1053,534,270,141,11,43,48,6,0
"39",3,49,220,0,201,217,213,101,116,162,1010,512,260,133,10,42,43,10,0
"40",4,1,220,0,202,186,208,76,120,161,953,484,248,126,6,38,40,11,0
"41",4,5,220,0,212,152,210,53,131,159,917,464,238,124,1,37,41,12,0
"42",4,9,219,0,210,142,211,48,117,147,875,441,228,118,1,37,35,15,0
"43",4,13,218,969,206,128,204,43,109,133,1792,969,415,220,108,31,32,17,0
"44",4,17,220,909,205,115,209,39,99,118,1694,909,400,211,100,29,26,19,0
"45",4,21,220,862,204,105,212,35,89,104,1611,862,385,199,95,25,26,19,0
"46",4,25,220,0,211,509,208,435,78,91,1532,813,367,189,93,20,25,25,0
"47",4,29,220,0,208,473,203,411,69,79,1443,764,346,181,88,16,24,24,0
"48",4,33,220,0,211,441,204,389,60,70,1375,725,331,176,81,15,24,23,0
"49",4,37,220,0,209,355,210,228,94,136,1232,606,322,169,77,13,23,22,0
"50",4,41,220,0,210,295,206,175,111,173,1170,584,300,157,73,11,21,22,2
"51",4,45,220,0,208,248,207,121,123,211,1118,561,289,151,67,7,20,19,4
"52",4,49,220,0,207,217,209,86,131,224,1074,544,271,149,62,6,20,16,6
"53",5,1,219,0,203,175,210,60,132,210,990,492,257,140,59,4,20,13,5
"54",5,5,221,0,212,143,214,43,126,204,942,468,246,132,56,1,20,14,5
"55",5,9,221,0,205,131,212,38,118,190,894,445,235,128,49,1,17,13,6
"56",5,13,221,964,209,119,210,35,105,176,1818,964,425,222,122,48,17,12,8
"57",5,17,221,912,204,113,207,35,97,168,1736,912,417,215,113,43,15,11,10
"58",5,21,221,867,210,104,216,31,84,151,1663,867,400,210,110,40,13,12,11
"59",5,25,221,0,207,492,212,453,78,136,1578,817,386,202,103,38,10,11,11
"60",5,29,221,0,207,466,212,424,68,116,1493,774,361,191,98,37,10,11,11
"61",5,33,221,0,207,438,216,391,58,107,1417,723,348,187,93,35,9,12,10
"62",5,37,221,0,200,356,216,235,75,166,1248,598,323,177,88,31,8,13,10
"63",5,41,221,0,209,294,213,162,84,203,1165,554,297,169,85,31,7,10,12
"64",5,45,221,0,209,254,209,121,100,227,1120,537,283,165,80,29,6,9,11
"65",5,49,220,0,209,215,210,90,110,230,1064,513,264,160,75,27,6,9,10
"66",6,1,221,0,212,191,216,69,115,231,1034,502,250,158,74,25,4,11,10
"67",6,5,220,0,209,166,211,53,123,231,993,486,234,154,72,23,1,11,12
"68",6,9,221,0,212,155,210,48,105,218,948,463,222,150,71,20,1,10,11
"69",6,13,221,969,212,146,213,47,95,199,1881,969,449,207,145,71,19,11,10
"70",6,17,221,918,210,137,207,41,87,182,1782,918,428,198,132,67,19,9,11
"71",6,21,220,863,215,122,209,38,79,159,1685,863,410,186,123,65,18,7,13
"72",6,25,221,0,212,522,208,439,72,148,1601,815,398,177,113,62,17,7,12
"73",6,29,221,0,210,502,208,414,64,129,1527,777,378,169,107,60,17,7,12
"74",6,33,221,0,214,468,212,379,56,117,1446,718,367,163,105,57,17,6,13
"75",6,37,221,0,209,376,211,231,92,181,1300,610,346,155,101,54,17,4,13
"76",6,41,221,0,205,321,208,164,114,213,1225,572,327,148,94,52,16,4,12
"77",6,45,221,0,213,260,210,121,132,222,1158,542,306,140,92,50,14,3,11
"78",6,49,221,0,211,226,211,89,127,219,1083,502,291,128,86,50,12,3,11
