Generated by GetData Graph Digitizer 2.26.0.20 on March 06 2018, 16:25
from file '\\uom-file.unimelb.edu.au\220\Users\hradskyb\Documents\Papers\NESP_Predatormodel\Figures\Carnarvon_Thompson2002.tif'

Line #1
-4.36375681546767e+000    1.00582673920233e+002
 4.81561300687865e+000    1.04115602319069e+002
 1.39925959734804e+001    1.17757342167175e+002
 2.31685048549972e+001    1.35948047167452e+002
 2.79369652614363e+001    1.00564533816574e+002
 3.23545578734282e+001    1.11176303508333e+002
 4.15330922962640e+001    1.18247315914414e+002
 4.62942727926822e+001    1.13695677483809e+002
 8.23307821381507e+001    1.31871297555780e+002
 8.67475393506320e+001    1.46021151254783e+002

Line #2
-4.36375681546767e+000    1.00582673920233e+002
 5.17913113677187e+000    4.54361859530357e+000
 1.40195674433937e+001    3.52777279042797e+000
 2.38795491812952e+001    4.53311643002760e+000
 2.79598790765839e+001    3.51994390358588e+000
 3.23781877452992e+001    1.10990701605638e+001
 4.18972071400933e+001    1.61481293283308e+001
 8.23570375513406e+001    2.06743716138142e+001
 8.67778524185877e+001    1.76392458490590e+001

Line #3
-4.36375681546767e+000    1.00582673920233e+002
 5.17925047955910e+000    4.03817802284009e+000
 1.43592170158416e+001    5.04390355935885e+000
 2.31991759513145e+001    6.04982004433717e+000
 2.79592823626477e+001    6.04714676590329e+000
 3.23773523457886e+001    1.46371541678082e+001
 4.15568415109221e+001    1.76646419941808e+001
 4.63173059506170e+001    1.61456469983565e+001
 8.23581116364256e+001    1.61254064616428e+001
 8.71190534472695e+001    1.25846491759646e+001
 9.15377201443464e+001    1.86474537155520e+001
 9.59598477822530e+001    1.00524816536985e+001
-4.34000760080952e+000    0.00000000000000e+000
