"","year","week-of-year","all-fox-but-cub-density","bait.efficacy"
"1",1,1,0.996435898163117,0.3
"2",1,5,0.965238189776605,0.3
"3",1,9,0.935931251595337,0.3
"4",1,13,0.908515083619312,0.3
"5",1,17,0.867863524206586,0.3
"6",1,21,0.835720430717453,0.3
"7",1,25,0.811140418049292,0.3
"8",1,29,0.777106554354916,0.3
"9",1,33,0.741181920455298,0.3
"10",1,37,0.700530361042571,0.3
"11",1,41,0.660824186732465,0.3
"12",1,45,1.02668822144701,0.3
"13",1,49,0.969965115289713,0.3
"14",2,1,0.902842773003583,0.3
"15",2,5,0.835720430717453,0.3
"16",2,9,0.811140418049292,0.3
"17",2,13,0.759144237405107,0.3
"18",2,17,0.710929597171408,0.3
"19",2,21,0.664605727142952,0.3
"20",2,25,0.62111801242236,0.3
"21",2,29,0.576684912599147,0.3
"22",2,33,0.537924123391664,0.3
"23",2,37,0.509562570313017,0.3
"24",2,41,0.478364861926506,0.3
"25",2,45,0.85840967318037,0.3
"26",2,49,0.794123486202104,0.3
"27",3,1,0.747799616173648,0.3
"28",3,5,0.688240354708491,0.3
"29",3,9,0.650424950603628,0.3
"30",3,13,0.605991850780415,0.3
"31",3,17,0.563449521162446,0.3
"32",3,21,0.52374334685234,0.3
"33",3,25,0.485927942747478,0.3
"34",3,29,0.454730234360967,0.3
"35",3,33,0.433931762103293,0.3
"36",3,37,0.41407867494824,0.3
"37",3,41,0.398952513306295,0.3
"38",3,45,0.794123486202104,0.3
"39",3,49,0.744018075763162,0.3
"40",4,1,0.696748820632085,0.3
"41",4,5,0.657988031424601,0.3
"42",4,9,0.641916484680034,0.3
"43",4,13,0.60882800608828,0.3
"44",4,17,0.579521067907012,0.3
"45",4,21,0.554941055238852,0.3
"46",4,25,0.526579502160205,0.3
"47",4,29,0.504835644799909,0.3
"48",4,33,0.480255632131749,0.3
"49",4,37,0.45662100456621,0.3
"50",4,41,0.438658687616401,0.3
"51",4,45,0.830993505204345,0.3
"52",4,49,0.79128733089424,0.3
"53",5,1,0.754417311891999,0.3
"54",5,5,0.707148056760922,0.3
"55",5,9,0.667441882450816,0.3
"56",5,13,0.630571863448576,0.3
"57",5,17,0.599374155062065,0.3
"58",5,21,0.574794142393904,0.3
"59",5,25,0.552104899930987,0.3
"60",5,29,0.520907191544476,0.3
"61",5,33,0.496327178876315,0.3
"62",5,37,0.463238700284561,0.3
"63",5,41,0.443385613129508,0.3
"64",5,45,0.810195032946671,0.3
"65",5,49,0.756308082097242,0.3
"66",6,1,0.715656522684516,0.3
"67",6,5,0.686349584503247,0.3
"68",6,9,0.661769571835087,0.3
"69",6,13,0.606937235883037,0.3
"70",6,17,0.57195798708604,0.3
"71",6,21,0.536033353186421,0.3
"72",6,25,0.505781029902531,0.3
"73",6,29,0.479310247029127,0.3
"74",6,33,0.459457159874075,0.3
"75",6,37,0.43204099189805,0.3
"76",6,41,0.409351749435132,0.3
"77",6,45,0.734564224736947,0.3
"78",6,49,0.689185739811112,0.3
"79",7,1,0.650424950603628,0.3
"80",7,5,0.625844937935468,0.3
"81",7,9,0.603155695472551,0.3
"82",7,13,0.576684912599147,0.3
"83",7,17,0.545487204212636,0.3
"84",7,21,0.518071036236611,0.3
"85",7,25,0.494436408671072,0.3
"86",7,29,0.475528706618641,0.3
"87",7,33,0.447167153539995,0.3
"88",7,37,0.418805600461348,0.3
"89",7,41,0.387607892074837,0.3
"90",7,45,0.727001143915974,0.3
"91",7,49,0.687294969605869,0.3
"92",8,1,0.658933416527222,0.3
"93",8,5,0.628681093243333,0.3
"94",8,9,0.600319540164686,0.3
"95",8,13,0.569121831778175,0.3
"96",8,17,0.545487204212636,0.3
"97",8,21,0.515234880928746,0.3
"98",8,25,0.493491023568451,0.3
"99",8,29,0.47458332151602,0.3
"100",8,33,0.447167153539995,0.3
"101",8,37,0.417860215358726,0.3
"102",8,41,0.396116357998431,0.3
"103",8,45,0.764816548020836,0.3
"104",8,49,0.720383448197623,0.3
"105",9,1,0.692021895118977,0.3
"106",9,5,0.657042646321979,0.3
"107",9,9,0.657988031424601,0.3
"108",9,13,0.623954167730225,0.3
"109",9,17,0.5965379997542,0.3
"110",9,21,0.562504136059824,0.3
"111",9,25,0.536033353186421,0.3
"112",9,29,0.502944874594666,0.3
"113",9,33,0.484037172542235,0.3
"114",9,37,0.449057923745238,0.3
"115",9,41,0.417860215358726,0.3
"116",9,45,0.744018075763162,0.3
"117",9,49,0.704311901453057,0.3
"118",10,1,0.660824186732465,0.3
"119",10,5,0.624899552832846,0.3
"120",10,9,0.618281857114496,0.3
"121",10,13,0.589920304035849,0.3
"122",10,17,0.558722595649338,0.3
"123",10,21,0.536978738289042,0.3
"124",10,25,0.503890259697288,0.3
"125",10,29,0.477419476823884,0.3
"126",10,33,0.443385613129508,0.3
"127",10,37,0.418805600461348,0.3
"128",10,41,0.402734053716782,0.3
"129",10,45,0.766707318226079,0.3
