Line,t.x,t.y,,,,
1,-4.363756815,100.5826739,,,,
1,4.815613007,104.1156023,,,,
1,13.99259597,117.7573422,,,,
1,23.16850485,135.9480472,,,,
1,27.93696526,100.5645338,,,,
1,32.35455787,111.1763035,,,,
1,41.5330923,118.2473159,,,,
1,46.29427279,113.6956775,,,,
1,82.33078214,131.8712976,,,,
1,86.74753935,146.0211513,,,,
2,-4.363756815,100.5826739,,,,
2,5.179131137,4.543618595,,,,
2,14.01956744,3.52777279,,,,
2,23.87954918,4.53311643,,,,
2,27.95987908,3.519943904,,,,
2,32.37818775,11.09907016,,,,
2,41.89720714,16.14812933,,,,
2,82.35703755,20.67437161,,,,
2,86.77785242,17.63924585,,,,
3,-4.363756815,100.5826739,,,,
3,5.17925048,4.038178023,,,,
3,14.35921702,5.043903559,,,,
3,23.19917595,6.049820044,,,,
3,27.95928236,6.047146766,,,,
3,32.37735235,14.63715417,,,,
3,41.55684151,17.66464199,,,,
3,46.31730595,16.145647,,,,
3,82.35811164,16.12540646,,,,
3,87.11905345,12.58464918,,,,
3,91.53772014,18.64745372,,,,
3,95.95984778,10.05248165,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
