"familysize (for Pr1, 100ha)",1,2,3,4,5
1,100,45,32,30,15
2,100,46,35,20,17
3,100,49,41,28,31
4,100,59,41,26,24
5,100,40,25,18,21
6,100,46,36,33,26
7,100,52,38,21,12
8,100,57,29,35,22
9,100,43,34,23,22
10,100,53,28,22,20
11,100,46,31,30,22
12,100,53,29,19,24
13,100,56,30,24,20
14,100,57,34,24,23
15,100,54,28,24,23
16,100,49,34,22,23
17,100,56,32,24,22
18,100,46,32,19,16
19,100,46,36,27,13
20,100,49,30,24,16
21,100,53,34,22,17
22,100,45,35,30,16
23,100,51,30,29,26
24,100,58,27,27,24
25,100,54,36,25,19
26,100,47,35,26,17
27,100,43,36,33,17
28,100,55,26,23,14
29,100,57,40,27,18
30,100,51,38,23,17
