"","year","week-of-year","fox-family-density","HRsize"
"1",1,1,1.27257180222323,0.7
"2",1,5,1.28766158643931,0.7
"3",1,9,1.28766158643931,0.7
"4",1,13,1.28766158643931,0.7
"5",1,17,1.28766158643931,0.7
"6",1,21,1.27257180222323,0.7
"7",1,25,1.28766158643931,0.7
"8",1,29,1.28766158643931,0.7
"9",1,33,1.28766158643931,0.7
"10",1,37,1.28766158643931,0.7
"11",1,41,1.28766158643931,0.7
"12",1,45,1.28766158643931,0.7
"13",1,49,1.28766158643931,0.7
"14",2,1,1.28766158643931,0.7
"15",2,5,1.28766158643931,0.7
"16",2,9,1.28766158643931,0.7
"17",2,13,1.28263165836729,0.7
"18",2,17,1.28263165836729,0.7
"19",2,21,1.28263165836729,0.7
"20",2,25,1.28766158643931,0.7
"21",2,29,1.28766158643931,0.7
"22",2,33,1.28766158643931,0.7
"23",2,37,1.28766158643931,0.7
"24",2,41,1.28766158643931,0.7
"25",2,45,1.28766158643931,0.7
"26",2,49,1.28766158643931,0.7
"27",3,1,1.28766158643931,0.7
"28",3,5,1.28766158643931,0.7
"29",3,9,1.28766158643931,0.7
"30",3,13,1.28766158643931,0.7
"31",3,17,1.28263165836729,0.7
"32",3,21,1.28766158643931,0.7
"33",3,25,1.28766158643931,0.7
"34",3,29,1.28766158643931,0.7
"35",3,33,1.28766158643931,0.7
"36",3,37,1.28766158643931,0.7
"37",3,41,1.28766158643931,0.7
"38",3,45,1.28766158643931,0.7
"39",3,49,1.28766158643931,0.7
"40",4,1,1.28766158643931,0.7
"41",4,5,1.28766158643931,0.7
"42",4,9,1.28766158643931,0.7
"43",4,13,1.28263165836729,0.7
"44",4,17,1.28766158643931,0.7
"45",4,21,1.28766158643931,0.7
"46",4,25,1.28766158643931,0.7
"47",4,29,1.28766158643931,0.7
"48",4,33,1.28766158643931,0.7
"49",4,37,1.28766158643931,0.7
"50",4,41,1.28766158643931,0.7
"51",4,45,1.28766158643931,0.7
"52",4,49,1.28766158643931,0.7
"53",5,1,1.28766158643931,0.7
"54",5,5,1.28766158643931,0.7
"55",5,9,1.28766158643931,0.7
"56",5,13,1.28766158643931,0.7
"57",5,17,1.28766158643931,0.7
"58",5,21,1.28263165836729,0.7
"59",5,25,1.28766158643931,0.7
"60",5,29,1.28766158643931,0.7
"61",5,33,1.28766158643931,0.7
"62",5,37,1.28766158643931,0.7
"63",5,41,1.28766158643931,0.7
"64",5,45,1.28766158643931,0.7
"65",5,49,1.28766158643931,0.7
