"","year","week-of-year","total-fox-density","all-fox-but-cub-density","bait-take","bait-cost","bufferwidth"
"1",1,1,1.92100821548276,1.90515634706979,0.458233890214797,419,8000
"2",1,3,1.86575574928022,1.84303168357838,0.41527446300716,838,8000
"3",1,5,1.87372749813531,1.86373990474218,0.408114558472554,1257,8000
"4",1,7,1.83936651169095,1.82232346241458,0.417661097852029,1676,8000
"5",1,9,1.79630074201402,1.78090702008697,0.446300715990453,2095,8000
"6",1,11,1.7634974536218,1.73949057775937,0.412887828162291,2514,8000
"7",1,13,1.67672450918764,1.65665769310416,0.408114558472554,2933,8000
"8",1,15,1.65299252121672,1.63594947194036,0.424821002386635,3352,8000
"9",1,17,1.61038489802572,1.59453302961276,0.379474940334129,3771,8000
"10",1,19,1.61157607888913,1.59453302961276,0.343675417661098,4190,8000
"11",1,21,1.59086785772533,1.57382480844895,0.381861575178998,4609,8000
"12",1,23,1.50803497307012,1.49099192379375,0.362768496420048,5028,8000
"13",1,25,1.44242839628568,1.42886726030234,0.35799522673031,5447,8000
"14",1,27,1.4106330301625,1.38745081797474,0.37708830548926,5866,8000
"15",1,29,1.35849596006426,1.34603437564713,0.393794749403341,6285,8000
"16",1,31,1.34548459986399,1.32532615448333,0.362768496420048,6704,8000
"17",1,33,1.33659655803705,1.32532615448333,0.381861575178998,7123,8000
"18",1,35,1.33778773890045,1.32532615448333,0.362768496420048,7542,8000
"19",1,37,2.42332002265084,1.26320149099192,0.374701670644391,7961,8000
"20",1,39,2.35052854542047,1.26320149099192,0.33890214797136,8380,8000
"21",1,41,2.32056403523086,1.24249326982812,0.348448687350835,8799,8000
"22",1,43,2.29270034499142,1.22178504866432,0.336515513126492,9218,8000
"23",1,45,2.24853502374827,1.20107682750052,0.312649164677804,9637,8000
"24",1,47,2.11704698228782,1.11824394284531,0.317422434367542,10056,8000
"25",1,49,1.99875355962203,1.98798923172499,0.52744630071599,10475,8000
"26",1,51,1.97181454624965,1.96728101056119,0.517899761336515,10894,8000
"27",2,1,1.94029406801802,1.92586456823359,0.47255369928401,419,8000
"28",2,3,1.90804055540891,1.90515634706979,0.491646778042959,838,8000
"29",2,5,1.89915251358198,1.90515634706979,0.520286396181384,1257,8000
"30",2,7,1.85242157201764,1.84303168357838,0.431980906921241,1676,8000
"31",2,9,1.98601708731329,1.96728101056119,0.496420047732697,2095,8000
"32",2,11,1.88018524906465,1.86373990474218,0.451073985680191,2514,8000
"33",2,13,1.81782939780804,1.80161524125078,0.451073985680191,2933,8000
"34",2,15,1.74113567606422,1.71878235659557,0.460620525059666,3352,8000
"35",2,17,1.68542506337575,1.65665769310416,0.443914081145585,3771,8000
"36",2,19,1.65115570622858,1.61524125077656,0.410501193317422,4190,8000
"37",2,21,1.58738171538785,1.55311658728515,0.384248210023866,4609,8000
"38",2,23,1.54963044494764,1.53240836612135,0.365155131264916,5028,8000
"39",2,25,1.53240413707687,1.49099192379375,0.412887828162291,5447,8000
"40",2,27,1.50619815808197,1.47028370262994,0.37708830548926,5866,8000
"41",2,29,1.44233253794405,1.40815903913854,0.369928400954654,6285,8000
"42",2,31,1.40673667050993,1.38745081797474,0.367541766109785,6704,8000
"43",2,33,1.35409352475492,1.34603437564713,0.37708830548926,7123,8000
"44",2,35,1.31505944415413,1.28390971215573,0.348448687350835,7542,8000
"45",2,37,2.65289088318106,1.28390971215573,0.315035799522673,7961,8000
"46",2,39,2.5783567934878,1.26320149099192,0.31980906921241,8380,8000
"47",2,41,2.4901177802987,1.22178504866432,0.291169451073986,8799,8000
"48",2,43,2.37988773578517,1.13895216400911,0.303102625298329,9218,8000
"49",2,45,2.30530148787663,1.11824394284531,0.291169451073986,9637,8000
"50",2,47,2.22155231024957,1.09753572168151,0.293556085918854,10056,8000
"51",2,49,2.1159037305953,2.0294056740526,0.505966587112172,10475,8000
"52",2,51,2.08273392501433,2.0086974528888,0.522673031026253,10894,8000
"53",3,1,1.99788519582107,1.92586456823359,0.474940334128878,419,8000
"54",3,3,1.95518594333287,1.88444812590598,0.448687350835322,838,8000
"55",3,5,1.864106421931,1.80161524125078,0.420047732696897,1257,8000
"56",3,7,1.78640477791813,1.71878235659557,0.439140811455847,1676,8000
"57",3,9,1.60369595933127,1.57382480844895,0.515513126491647,2095,8000
"58",3,11,1.58262122097873,1.51170014495755,0.431980906921241,2514,8000
"59",3,13,1.56035530176278,1.51170014495755,0.443914081145585,2933,8000
"60",3,15,1.53020926298892,1.47028370262994,0.412887828162291,3352,8000
"61",3,17,1.44096232753075,1.38745081797474,0.403341288782816,3771,8000
"62",3,19,1.35565545185155,1.30461793331953,0.391408114558473,4190,8000
"63",3,21,1.33476397209338,1.28390971215573,0.372315035799523,4609,8000
"64",3,23,1.28675022036845,1.24249326982812,0.35799522673031,5028,8000
"65",3,25,1.26622525779903,1.22178504866432,0.334128878281623,5447,8000
"66",3,27,1.2724560500076,1.22178504866432,0.31980906921241,5866,8000
"67",3,29,1.22352600531083,1.15966038517291,0.367541766109785,6285,8000
"68",3,31,1.23745365848295,1.15966038517291,0.322195704057279,6704,8000
"69",3,33,1.19521255248068,1.11824394284531,0.322195704057279,7123,8000
"70",3,35,1.17349640904783,1.09753572168151,0.329355608591885,7542,8000
"71",3,37,2.36421912596651,1.09753572168151,0.303102625298329,7961,8000
"72",3,39,2.34543512004359,1.09753572168151,0.317422434367542,8380,8000
"73",3,41,2.26919954478571,1.09753572168151,0.303102625298329,8799,8000
"74",3,43,2.24445963454578,1.09753572168151,0.279236276849642,9218,8000
"75",3,45,2.16098534481028,1.0561192793539,0.284009546539379,9637,8000
"76",3,47,2.09776112975266,1.0354110581901,0.269689737470167,10056,8000
"77",3,49,2.04873945575869,1.86373990474218,0.503579952267303,10475,8000
"78",3,51,2.01813527049894,1.86373990474218,0.494033412887828,10894,8000
"79",4,1,1.97928444849249,1.80161524125078,0.460620525059666,419,8000
"80",4,3,1.94107503156635,1.76019879892317,0.463007159904535,838,8000
"81",4,5,1.91047084630657,1.76019879892317,0.424821002386635,1257,8000
"82",4,7,1.81966621279625,1.65665769310416,0.458233890214797,1676,8000
"83",4,9,1.68249715491034,1.53240836612135,0.460620525059666,2095,8000
"84",4,11,1.71530044330255,1.57382480844895,0.467780429594272,2514,8000
"85",4,13,1.6296270504346,1.49099192379375,0.389021479713604,2933,8000
"86",4,15,1.54340388178356,1.40815903913854,0.37708830548926,3352,8000
"87",4,17,1.50281210313062,1.38745081797474,0.386634844868735,3771,8000
"88",4,19,1.47596471905542,1.36674259681093,0.39618138424821,4190,8000
"89",4,21,1.46918415106373,1.36674259681093,0.386634844868735,4609,8000
"90",4,23,1.45498161000006,1.34603437564713,0.365155131264916,5028,8000
"91",4,25,1.45498161000006,1.34603437564713,0.369928400954654,5447,8000
"92",4,27,1.44288654277164,1.34603437564713,0.346062052505967,5866,8000
"93",4,29,1.42520208841494,1.32532615448333,0.405727923627685,6285,8000
"94",4,31,1.38570986132822,1.28390971215573,0.31980906921241,6704,8000
"95",4,33,1.37865440544498,1.28390971215573,0.322195704057279,7123,8000
"96",4,35,1.31652974195357,1.22178504866432,0.37708830548926,7542,8000
"97",4,37,2.8047727868319,1.15966038517291,0.326968973747017,7961,8000
"98",4,39,2.70086516382414,1.09753572168151,0.322195704057279,8380,8000
"99",4,41,2.63727443157776,1.07682750051771,0.374701670644391,8799,8000
"100",4,43,2.54454558282657,0.993994615862497,0.293556085918854,9218,8000
"101",4,45,2.47197517945606,0.973286394698695,0.295942720763723,9637,8000
"102",4,47,2.37814677913865,0.931869952371091,0.326968973747017,10056,8000
"103",4,49,2.36962525450045,2.23648788569062,0.479713603818616,10475,8000
"104",4,51,2.22906591261874,2.11223855870781,0.539379474940334,10894,8000
"105",5,1,2.23923676460625,2.11223855870781,0.482100238663485,419,8000
"106",5,3,2.18728295310237,2.0708221163802,0.474940334128878,838,8000
"107",5,5,2.15301359595519,2.0501138952164,0.479713603818616,1257,8000
"108",5,7,2.0852995453355,1.96728101056119,0.439140811455847,1676,8000
"109",5,9,2.09876905202162,2.0086974528888,0.534606205250597,2095,8000
"110",5,11,2.13523751230126,2.0501138952164,0.455847255369928,2514,8000
"111",5,13,2.01337054704526,1.94657278939739,0.458233890214797,2933,8000
"112",5,15,2.03032196702447,1.94657278939739,0.39618138424821,3352,8000
"113",5,17,2.00613183256763,1.92586456823359,0.43436754176611,3771,8000
"114",5,19,1.89397757281322,1.82232346241458,0.410501193317422,4190,8000
"115",5,21,1.84009954606846,1.76019879892317,0.424821002386635,4609,8000
"116",5,23,1.81114468815801,1.73949057775937,0.400954653937947,5028,8000
"117",5,25,1.70357189326285,1.61524125077656,0.381861575178998,5447,8000
