"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","baitdensity"
"1",1,1,2.23137089849448,2.19507144336302,0.391304347826087,23,0.5
"2",1,3,2.20937986717008,2.17436322219921,0.521739130434783,46,0.5
"3",1,5,2.21011290154756,2.17436322219921,0.391304347826087,69,0.5
"4",1,7,2.17529376861728,2.13294677987161,0.434782608695652,92,0.5
"5",1,9,2.12370647430214,2.091530337544,0.565217391304348,115,0.5
"6",1,11,2.10977882113003,2.0708221163802,0.478260869565217,138,0.5
"7",1,13,1.98533910882972,1.94657278939739,0.260869565217391,161,0.5
"8",1,15,1.97929870193864,1.94657278939739,0.347826086956522,184,0.5
"9",1,17,1.8960076707975,1.86373990474218,0.347826086956522,207,0.5
"10",1,19,1.87933113870984,1.84303168357838,0.608695652173913,230,0.5
"11",1,21,1.79164190130383,1.76019879892317,0.434782608695652,253,0.5
"12",1,23,1.75453203594392,1.71878235659557,0.217391304347826,276,0.5
"13",1,25,1.67270707355774,1.63594947194036,0.304347826086957,299,0.5
"14",1,27,1.58941604241661,1.55311658728515,0.391304347826087,322,0.5
"15",1,29,1.58941604241661,1.55311658728515,0.434782608695652,345,0.5
"16",1,31,1.57136507087117,1.53240836612135,0.260869565217391,368,0.5
"17",1,33,1.50869063159666,1.47028370262994,0.478260869565217,391,0.5
"18",1,35,1.4566451907956,1.42886726030234,0.304347826086957,414,0.5
"19",1,37,2.70548938902208,1.36674259681093,0.521739130434783,437,0.5
"20",1,39,2.54017588345415,1.28390971215573,0.652173913043478,460,0.5
"21",1,41,2.46513148905967,1.24249326982812,0.347826086956522,483,0.5
"22",1,43,2.3777171395452,1.28390971215573,0.391304347826087,506,0.5
"23",1,45,2.25217787567867,1.22178504866432,0.304347826086957,529,0.5
"24",1,47,2.21782401595743,1.20107682750052,0.391304347826087,552,0.5
"25",1,49,2.19482506236399,2.0501138952164,0.565217391304348,575,0.5
"26",1,51,2.10978594785322,1.96728101056119,0.478260869565217,598,0.5
"27",2,1,2.09888918821133,1.94657278939739,0.478260869565217,23,0.5
"28",2,3,2.04931773843426,1.90515634706979,0.521739130434783,46,0.5
"29",2,5,2.01898131434291,1.90515634706979,0.434782608695652,69,0.5
"30",2,7,1.91809745814227,1.80161524125078,0.565217391304348,92,0.5
"31",2,9,2.04142336543006,1.94657278939739,0.521739130434783,115,0.5
"32",2,11,1.94429631041401,1.86373990474218,0.391304347826087,138,0.5
"33",2,13,1.8852870430269,1.82232346241458,0.391304347826087,161,0.5
"34",2,15,1.84936835853039,1.80161524125078,0.521739130434783,184,0.5
"35",2,17,1.75590647540171,1.71878235659557,0.391304347826087,207,0.5
"36",2,19,1.73373218548295,1.69807413543177,0.521739130434783,230,0.5
"37",2,21,1.74911878068691,1.71878235659557,0.434782608695652,253,0.5
"38",2,23,1.68205326187063,1.63594947194036,0.434782608695652,276,0.5
"39",2,25,1.6316571484189,1.59453302961276,0.434782608695652,299,0.5
"40",2,27,1.58694205139264,1.57382480844895,0.565217391304348,322,0.5
"41",2,29,1.50309411774527,1.49099192379375,0.347826086956522,345,0.5
"42",2,31,1.44674922669964,1.40815903913854,0.347826086956522,368,0.5
"43",2,33,1.42237583364844,1.38745081797474,0.391304347826087,391,0.5
"44",2,35,1.36025117015703,1.32532615448333,0.521739130434783,414,0.5
"45",2,37,2.73140622667918,1.30461793331953,0.434782608695652,437,0.5
"46",2,39,2.66534150340882,1.28390971215573,0.173913043478261,460,0.5
"47",2,41,2.63015585328979,1.30461793331953,0.347826086956522,483,0.5
"48",2,43,2.56070084602359,1.26320149099192,0.217391304347826,506,0.5
"49",2,45,2.50838051733097,1.24249326982812,0.130434782608696,529,0.5
"50",2,47,2.3552679617349,1.18036860633672,0.304347826086957,552,0.5
"51",2,49,2.27390114583464,2.15365500103541,0.478260869565217,575,0.5
"52",2,51,2.2491612355947,2.13294677987161,0.521739130434783,598,0.5
"53",3,1,2.20013956160073,2.091530337544,0.260869565217391,23,0.5
"54",3,3,2.05590792110848,1.94657278939739,0.347826086956522,46,0.5
"55",3,5,2.01091080946753,1.90515634706979,0.521739130434783,69,0.5
"56",3,7,2.00193826506652,1.88444812590598,0.478260869565217,92,0.5
"57",3,9,1.84790228977543,1.73949057775937,0.434782608695652,115,0.5
"58",3,11,1.84157986826967,1.78090702008697,0.217391304347826,138,0.5
"59",3,13,1.80254578766887,1.73949057775937,0.347826086956522,161,0.5
"60",3,15,1.70450243968095,1.63594947194036,0.347826086956522,184,0.5
"61",3,17,1.69671394942022,1.63594947194036,0.608695652173913,207,0.5
"62",3,19,1.59189003344061,1.55311658728515,0.478260869565217,230,0.5
"63",3,21,1.45206372593635,1.40815903913854,0.391304347826087,253,0.5
"64",3,23,1.37674444365031,1.34603437564713,0.391304347826087,276,0.5
"65",3,25,1.37931006397149,1.34603437564713,0.347826086956522,299,0.5
"66",3,27,1.27091260540167,1.22178504866432,0.434782608695652,322,0.5
"67",3,29,1.28768076678652,1.26320149099192,0.130434782608696,345,0.5
"68",3,31,1.22069975054431,1.20107682750052,0.434782608695652,368,0.5
"69",3,33,1.16764638747422,1.15966038517291,0.347826086956522,391,0.5
"70",3,35,1.17543487773495,1.15966038517291,0.217391304347826,414,0.5
"71",3,37,2.55859337218835,1.13895216400911,0.260869565217391,437,0.5
"72",3,39,2.48565645162913,1.09753572168151,0.391304347826087,460,0.5
"73",3,41,2.36562207231682,1.0561192793539,0.217391304347826,483,0.5
"74",3,43,2.16651160953384,1.0354110581901,0.434782608695652,506,0.5
"75",3,45,2.1655036872648,1.0147028370263,0.347826086956522,529,0.5
"76",3,47,2.04824757510365,0.973286394698695,0.260869565217391,552,0.5
"77",3,49,2.01370333006493,1.96728101056119,0.434782608695652,575,0.5
"78",3,51,1.92069959342216,1.88444812590598,0.391304347826087,598,0.5
"79",4,1,1.89211125270044,1.84303168357838,0.478260869565217,23,0.5
"80",4,3,1.83869137244161,1.80161524125078,0.608695652173913,46,0.5
"81",4,5,1.79296835314631,1.76019879892317,0.565217391304348,69,0.5
"82",4,7,1.76657911555704,1.73949057775937,0.434782608695652,92,0.5
"83",4,9,1.71202594956287,1.67736591426796,0.521739130434783,115,0.5
"84",4,11,1.74253850552546,1.71878235659557,0.739130434782609,138,0.5
"85",4,13,1.66831877480566,1.63594947194036,0.521739130434783,161,0.5
"86",4,15,1.64541145050941,1.61524125077656,0.608695652173913,184,0.5
"87",4,17,1.60353686169588,1.57382480844895,0.478260869565217,207,0.5
"88",4,19,1.5405875345298,1.51170014495755,0.391304347826087,230,0.5
"89",4,21,1.49999575587686,1.47028370262994,0.391304347826087,253,0.5
"90",4,23,1.49999575587686,1.47028370262994,0.478260869565217,276,0.5
"91",4,25,1.46123656316761,1.42886726030234,0.391304347826087,299,0.5
"92",4,27,1.4430023330278,1.40815903913854,0.347826086956522,322,0.5
"93",4,29,1.38958245276896,1.36674259681093,0.217391304347826,345,0.5
"94",4,31,1.34944882060195,1.32532615448333,0.260869565217391,368,0.5
"95",4,33,1.34541713152581,1.32532615448333,0.434782608695652,391,0.5
"96",4,35,1.34944882060195,1.32532615448333,0.260869565217391,414,0.5
"97",4,37,2.8898435233273,1.30461793331953,0.347826086956522,437,0.5
"98",4,39,2.77662344617581,1.24249326982812,0.260869565217391,460,0.5
"99",4,41,2.65408134167039,1.15966038517291,0.173913043478261,483,0.5
"100",4,43,2.54205244538227,1.07682750051771,0.304347826086957,506,0.5
"101",4,45,2.45308039781568,1.07682750051771,0.260869565217391,529,0.5
"102",4,47,2.32315005440739,1.0147028370263,0.304347826086957,552,0.5
"103",4,49,2.26736695884208,2.29861254918203,0.608695652173913,575,0.5
"104",4,51,2.2190783192256,2.25719610685442,0.608695652173913,598,0.5
"105",5,1,2.12964812517306,2.15365500103541,0.434782608695652,23,0.5
"106",5,3,2.07714453788605,2.11223855870781,0.521739130434783,46,0.5
"107",5,5,2.07357099529584,2.11223855870781,0.565217391304348,69,0.5
