"","year","week-of-year","total-fox-density","all-fox-but-cub-density","bait-take","bait-cost","baitdensity"
"1",1,1,2.1859085136445,2.25719610685442,0.410810810810811,185,4
"2",1,3,2.12341733296435,2.19507144336302,0.432432432432432,370,4
"3",1,5,2.04095096549788,2.11223855870781,0.416216216216216,555,4
"4",1,7,1.99412839463636,2.0708221163802,0.432432432432432,740,4
"5",1,9,1.91734304359536,1.96728101056119,0.340540540540541,925,4
"6",1,11,1.84742988984323,1.90515634706979,0.383783783783784,1110,4
"7",1,13,1.77174409036846,1.84303168357838,0.345945945945946,1295,4
"8",1,15,1.73032764804085,1.80161524125078,0.432432432432432,1480,4
"9",1,17,1.68872794711888,1.76019879892317,0.410810810810811,1665,4
"10",1,19,1.63943138523337,1.69807413543177,0.340540540540541,1850,4
"11",1,21,1.62678654222184,1.69807413543177,0.340540540540541,2035,4
"12",1,23,1.57978071276596,1.65665769310416,0.302702702702703,2220,4
"13",1,25,1.56466187873044,1.63594947194036,0.367567567567568,2405,4
"14",1,27,1.54395365756663,1.61524125077656,0.324324324324324,2590,4
"15",1,29,1.50950104182508,1.57382480844895,0.318918918918919,2775,4
"16",1,31,1.46157891939735,1.53240836612135,0.286486486486487,2960,4
"17",1,33,1.44957548146612,1.53240836612135,0.318918918918919,3145,4
"18",1,35,1.41475634853583,1.49099192379375,0.324324324324324,3330,4
"19",1,37,2.60722002210108,1.44957548146614,0.286486486486487,3515,4
"20",1,39,2.50102166666372,1.38745081797474,0.286486486486487,3700,4
"21",1,41,2.43303272815246,1.34603437564713,0.248648648648649,3885,4
"22",1,43,2.41104169682807,1.32532615448333,0.340540540540541,4070,4
"23",1,45,2.38364453696978,1.34603437564713,0.286486486486487,4255,4
"24",1,47,2.31437278829794,1.26320149099192,0.227027027027027,4440,4
"25",1,49,2.25270627129246,2.46427831849244,0.410810810810811,4625,4
"26",1,51,2.14064364083524,2.36073721267343,0.427027027027027,4810,4
"27",2,1,2.05891030774623,2.25719610685442,0.356756756756757,185,4
"28",2,3,2.02793960529772,2.21577966452682,0.432432432432432,370,4
"29",2,5,1.93823452335365,2.13294677987161,0.443243243243243,555,4
"30",2,7,1.94052525578327,2.11223855870781,0.416216216216216,740,4
"31",2,9,2.03114663069916,2.21577966452682,0.459459459459459,925,4
"32",2,11,1.92137473267158,2.091530337544,0.502702702702703,1110,4
"33",2,13,1.88252391066514,2.0294056740526,0.351351351351351,1295,4
"34",2,15,1.81352704988486,1.94657278939739,0.378378378378378,1480,4
"35",2,17,1.75433452390336,1.86373990474218,0.4,1665,4
"36",2,19,1.63439177388822,1.71878235659557,0.383783783783784,1850,4
"37",2,21,1.55137563063864,1.61524125077656,0.345945945945946,2035,4
"38",2,23,1.53543213292845,1.61524125077656,0.302702702702703,2220,4
"39",2,25,1.4547067221085,1.53240836612135,0.291891891891892,2405,4
"40",2,27,1.46386965182699,1.55311658728515,0.394594594594595,2590,4
"41",2,29,1.34081150570758,1.40815903913854,0.302702702702703,2775,4
"42",2,31,1.28116083324017,1.34603437564713,0.286486486486487,2960,4
"43",2,33,1.2559627765143,1.32532615448333,0.281081081081081,3145,4
"44",2,35,1.1389521640091,1.22178504866432,0.291891891891892,3330,4
"45",2,37,2.47564035134346,1.13895216400911,0.248648648648649,3515,4
"46",2,39,2.38254498540354,1.11824394284531,0.2,3700,4
"47",2,41,2.29201523978479,1.0354110581901,0.281081081081081,3885,4
"48",2,43,2.26718370024767,1.0561192793539,0.264864864864865,4070,4
"49",2,45,2.1706980503119,1.0354110581901,0.264864864864865,4255,4
"50",2,47,2.07494543475361,0.973286394698695,0.243243243243243,4440,4
"51",2,49,2.01666920174396,2.13294677987161,0.410810810810811,4625,4
"52",2,51,1.96929685509933,2.091530337544,0.486486486486487,4810,4
"53",3,1,1.8993837013472,2.0086974528888,0.448648648648649,185,4
"54",3,3,1.79657562990566,1.90515634706979,0.4,370,4
"55",3,5,1.71475066751948,1.80161524125078,0.454054054054054,555,4
"56",3,7,1.6445626258758,1.73949057775937,0.351351351351351,740,4
"57",3,9,1.56337906856991,1.67736591426796,0.421621621621622,925,4
"58",3,11,1.48457787299083,1.57382480844895,0.416216216216216,1110,4
"59",3,13,1.54532809702445,1.63594947194036,0.410810810810811,1295,4
"60",3,15,1.45507323929725,1.55311658728515,0.4,1480,4
"61",3,17,1.43537294040248,1.53240836612135,0.313513513513514,1665,4
"62",3,19,1.41503123642742,1.51170014495755,0.286486486486487,1850,4
"63",3,21,1.32477637870023,1.40815903913854,0.297297297297297,2035,4
"64",3,23,1.24725799328175,1.34603437564713,0.324324324324324,2220,4
"65",3,25,1.20959835213873,1.30461793331953,0.248648648648649,2405,4
"66",3,27,1.19869446577371,1.28390971215573,0.291891891891892,2590,4
"67",3,29,1.17523736569436,1.26320149099192,0.308108108108108,2775,4
"68",3,31,1.15452914453056,1.24249326982812,0.324324324324324,2960,4
"69",3,33,1.13336725653536,1.22178504866432,0.254054054054054,3145,4
"70",3,35,1.1073400564803,1.20107682750052,0.259459459459459,3330,4
"71",3,37,2.5748748801948,1.22178504866432,0.237837837837838,3515,4
"72",3,39,2.52621972338958,1.18036860633672,0.281081081081081,3700,4
"73",3,41,2.4400881840357,1.15966038517291,0.308108108108108,3885,4
"74",3,43,2.3950065698207,1.11824394284531,0.227027027027027,4070,4
"75",3,45,2.28358534444379,1.09753572168151,0.237837837837838,4255,4
"76",3,47,2.22759984386376,1.07682750051771,0.248648648648649,4440,4
"77",3,49,2.17005664523162,2.40215365500104,0.427027027027027,4625,4
"78",3,51,2.12983138376741,2.36073721267343,0.437837837837838,4810,4
"79",4,1,2.06211733314773,2.25719610685442,0.410810810810811,185,4
"80",4,3,2.01621105525806,2.21577966452682,0.454054054054054,370,4
"81",4,5,1.94043362648609,2.13294677987161,0.421621621621622,555,4
"82",4,7,1.90424005409801,2.11223855870781,0.389189189189189,740,4
"83",4,9,1.84257353709247,1.96728101056119,0.459459459459459,925,4
"84",4,11,1.7450799648877,1.84303168357838,0.459459459459459,1110,4
"85",4,13,1.71539207259977,1.80161524125078,0.405405405405405,1295,4
"86",4,15,1.72693736404507,1.78090702008697,0.378378378378378,1480,4
"87",4,17,1.6869869904724,1.73949057775937,0.308108108108108,1665,4
"88",4,19,1.58793572021544,1.63594947194036,0.335135135135135,1850,4
"89",4,21,1.5571482763613,1.61524125077656,0.362162162162162,2035,4
"90",4,23,1.54276247670325,1.59453302961276,0.297297297297297,2220,4
"91",4,25,1.5266357203987,1.57382480844895,0.345945945945946,2405,4
"92",4,27,1.52205425553945,1.57382480844895,0.302702702702703,2590,4
"93",4,29,1.4852192780711,1.53240836612135,0.324324324324324,2775,4
"94",4,31,1.4852192780711,1.53240836612135,0.308108108108108,2960,4
"95",4,33,1.45745560102404,1.51170014495755,0.302702702702703,3145,4
"96",4,35,1.47834708078222,1.53240836612135,0.286486486486487,3330,4
"97",4,37,3.00718190431341,1.51170014495755,0.248648648648649,3515,4
"98",4,39,2.9129869868073,1.47028370262994,0.297297297297297,3700,4
"99",4,41,2.74878728625186,1.40815903913854,0.32972972972973,3885,4
"100",4,43,2.62948594131704,1.34603437564713,0.259459459459459,4070,4
"101",4,45,2.56470402820729,1.32532615448333,0.335135135135135,4255,4
"102",4,47,2.47197517945611,1.28390971215573,0.308108108108108,4440,4
"103",4,49,2.42222047108467,2.58852764547525,0.47027027027027,4625,4
"104",4,51,2.35844648024393,2.52640298198385,0.513513513513513,4810,4
"105",5,1,2.30072002301739,2.46427831849244,0.481081081081081,185,4
"106",5,3,2.23923676460628,2.38144543383723,0.464864864864865,370,4
"107",5,5,2.15814483659759,2.34002899150963,0.432432432432432,555,4
"108",5,7,2.09721135396957,2.27790432801822,0.421621621621622,740,4
"109",5,9,1.96013392538079,2.091530337544,0.448648648648649,925,4
"110",5,11,1.89324453843574,1.94657278939739,0.432432432432432,1110,4
"111",5,13,1.97451972503881,2.0294056740526,0.405405405405405,1295,4
"112",5,15,1.95509431403562,2.0294056740526,0.394594594594595,1480,4
"113",5,17,1.93484423935774,1.98798923172499,0.432432432432432,1665,4
"114",5,19,1.98524035280946,2.0501138952164,0.454054054054054,1850,4
"115",5,21,1.93869266983949,2.0086974528888,0.394594594594595,2035,4
"116",5,23,1.93062929168722,1.98798923172499,0.405405405405405,2220,4
"117",5,25,1.92751389558293,1.98798923172499,0.372972972972973,2405,4
"118",5,27,1.8783089629946,1.94657278939739,0.340540540540541,2590,4
"119",5,29,1.8063799647044,1.88444812590598,0.4,2775,4
"120",5,31,1.74233108597211,1.80161524125078,0.335135135135135,2960,4
"121",5,33,1.67122675135658,1.73949057775937,0.32972972972973,3145,4
"122",5,35,1.66948579471007,1.73949057775937,0.318918918918919,3330,4
"123",5,37,3.34987547578516,1.71878235659557,0.351351351351351,3515,4
"124",5,39,3.26099505751575,1.67736591426796,0.335135135135135,3700,4
"125",5,41,3.15232271105442,1.63594947194036,0.367567567567568,3885,4
"126",5,43,3.09926934798432,1.59453302961276,0.313513513513514,4070,4
"127",5,45,3.01753601489535,1.57382480844895,0.362162162162162,4255,4
"128",5,47,2.92379924387513,1.53240836612135,0.318918918918919,4440,4
"129",5,49,2.89658534261118,3.14764961689791,0.524324324324324,4625,4
"130",5,51,2.77929984221443,3.0441085110789,0.556756756756757,4810,4
"131",6,1,2.7374252534009,2.98198384758749,0.518918918918919,185,4
"132",6,3,2.66118967814305,2.91985918409609,0.535135135135135,370,4
"133",6,5,2.56754453642002,2.81631807827708,0.567567567567568,555,4
"134",6,7,2.37044991817513,2.60923586663906,0.486486486486487,740,4
"135",6,9,2.32243616645013,2.52640298198385,0.540540540540541,925,4
"136",6,11,2.32875858795592,2.46427831849244,0.52972972972973,1110,4
"137",6,13,2.38263661470066,2.44357009732864,0.497297297297297,1295,4
"138",6,15,2.32866695865871,2.38144543383723,0.508108108108108,1480,4
"139",6,17,2.24326845368232,2.29861254918203,0.416216216216216,1665,4
"140",6,19,2.24757503065002,2.29861254918203,0.459459459459459,1850,4
"141",6,21,2.21422196647469,2.27790432801822,0.464864864864865,2035,4
"142",6,23,2.21422196647469,2.27790432801822,0.410810810810811,2220,4
"143",6,25,2.16281793075392,2.21577966452682,0.416216216216216,2405,4
"144",6,27,2.06926441832808,2.13294677987161,0.383783783783784,2590,4
"145",6,29,2.02784797600047,2.091530337544,0.421621621621622,2775,4
"146",6,31,1.98643153367287,2.0501138952164,0.427027027027027,2960,4
"147",6,33,1.93127069676751,1.98798923172499,0.437837837837838,3145,4
"148",6,35,1.92036681040251,1.98798923172499,0.405405405405405,3330,4
"149",6,37,3.25723825633127,1.90515634706979,0.437837837837838,3515,4
"150",6,39,3.20051972137376,1.86373990474218,0.351351351351351,3700,4
"151",6,41,3.10824901910851,1.80161524125078,0.367567567567568,3885,4
"152",6,43,3.00782330939375,1.76019879892317,0.324324324324324,4070,4
"153",6,45,2.99087188941456,1.76019879892317,0.356756756756757,4255,4
"154",6,47,2.91995081339338,1.71878235659557,0.302702702702703,4440,4
"155",6,49,2.79084513365977,2.91985918409609,0.567567567567568,4625,4
"156",6,51,2.6870291399492,2.79560985711327,0.556756756756757,4810,4
"157",7,1,2.59549147206141,2.71277697245807,0.491891891891892,185,4
"158",7,3,2.55361688324788,2.65065230896666,0.491891891891892,370,4
"159",7,5,2.4370644172286,2.50569476082005,0.497297297297297,555,4
"160",7,7,2.4272600824298,2.48498653965624,0.475675675675676,740,4
"161",7,9,2.2910073175157,2.29861254918203,0.545945945945946,925,4
"162",7,11,2.12561643609685,2.17436322219921,0.372972972972973,1110,4
"163",7,13,2.07027234059711,2.091530337544,0.437837837837838,1295,4
"164",7,15,1.97525275941631,2.0086974528888,0.432432432432432,1480,4
"165",7,17,1.97543601801067,2.0086974528888,0.394594594594595,1665,4
"166",7,19,1.92632271471951,1.96728101056119,0.372972972972973,1850,4
"167",7,21,1.94556486712836,1.98798923172499,0.394594594594595,2035,4
"168",7,23,1.88435649660879,1.92586456823359,0.372972972972973,2220,4
"169",7,25,1.87125350711134,1.90515634706979,0.389189189189189,2405,4
"170",7,27,1.84742988984325,1.88444812590598,0.405405405405405,2590,4
"171",7,29,1.8166424459891,1.86373990474218,0.367567567567568,2775,4
"172",7,31,1.74819536099193,1.80161524125078,0.389189189189189,2960,4
"173",7,33,1.69486711003028,1.76019879892317,0.351351351351351,3145,4
"174",7,35,1.65803213256193,1.71878235659557,0.416216216216216,3330,4
"175",7,37,3.07452943774443,1.65665769310416,0.356756756756757,3515,4
"176",7,39,2.9826252526679,1.63594947194036,0.32972972972973,3700,4
"177",7,41,2.89401972229006,1.63594947194036,0.32972972972973,3885,4
"178",7,43,2.76161538785776,1.59453302961276,0.345945945945946,4070,4
"179",7,45,2.67493407272077,1.55311658728515,0.32972972972973,4255,4
"180",7,47,2.58568713726263,1.47028370262994,0.340540540540541,4440,4
"181",7,49,2.54592002228435,2.58852764547525,0.497297297297297,4625,4
"182",7,51,2.49543227953543,2.54711120314765,0.535135135135135,4810,4
"183",8,1,2.43229969377498,2.48498653965624,0.448648648648649,185,4
"184",8,3,2.34571000793517,2.38144543383723,0.454054054054054,370,4
"185",8,5,2.27992017255636,2.31932077034583,0.454054054054054,555,4
"186",8,7,2.21816202625369,2.25719610685442,0.459459459459459,740,4
"187",8,9,2.1848089620783,2.23648788569062,0.508108108108108,925,4
"188",8,11,2.2281496196468,2.25719610685442,0.481081081081081,1110,4
"189",8,13,2.16419237021169,2.21577966452682,0.491891891891892,1295,4
"190",8,15,2.09345455278491,2.15365500103541,0.421621621621622,1480,4
"191",8,17,2.05881867844898,2.13294677987161,0.416216216216216,1665,4
"192",8,19,1.89351942632728,1.96728101056119,0.416216216216216,1850,4
"193",8,21,1.82974543548655,1.90515634706979,0.356756756756757,2035,4
"194",8,23,1.78521359705466,1.86373990474218,0.421621621621622,2220,4
"195",8,25,1.77073616809943,1.84303168357838,0.443243243243243,2405,4
"196",8,27,1.75066935201592,1.84303168357838,0.351351351351351,2590,4
"197",8,29,1.70824498741929,1.80161524125078,0.356756756756757,2775,4
"198",8,31,1.64346307430952,1.71878235659557,0.340540540540541,2960,4
"199",8,33,1.61166770818634,1.67736591426796,0.356756756756757,3145,4
"200",8,35,1.59554095188178,1.67736591426796,0.421621621621622,3330,4
"201",8,37,2.91317024540168,1.61524125077656,0.308108108108108,3515,4
"202",8,39,2.76317308590988,1.49099192379375,0.313513513513514,3700,4
"203",8,41,2.64268056011165,1.40815903913854,0.302702702702703,3885,4
"204",8,43,2.5756995438695,1.36674259681093,0.275675675675676,4070,4
"205",8,45,2.49836441704534,1.30461793331953,0.286486486486487,4255,4
"206",8,47,2.40132899132647,1.30461793331953,0.254054054054054,4440,4
"207",8,49,2.30511822928226,2.48498653965624,0.481081081081081,4625,4
"208",8,51,2.25087368534875,2.42286187616484,0.497297297297297,4810,4
"209",9,1,2.18416755699808,2.31932077034583,0.47027027027027,185,4
"210",9,3,2.12607458258281,2.27790432801822,0.459459459459459,370,4
"211",9,5,2.00319969505776,2.13294677987161,0.481081081081081,555,4
"212",9,7,2.00704812553952,2.15365500103541,0.427027027027027,740,4
"213",9,9,1.95445290895529,2.0294056740526,0.486486486486487,925,4
"214",9,11,1.7717440903685,1.86373990474218,0.4,1110,4
"215",9,13,1.75616710984706,1.82232346241458,0.416216216216216,1295,4
"216",9,15,1.6864372146893,1.76019879892317,0.367567567567568,1480,4
"217",9,17,1.61331703553569,1.65665769310416,0.378378378378378,1665,4
"218",9,19,1.5821630744928,1.63594947194036,0.378378378378378,1850,4
"219",9,21,1.55549894901197,1.59453302961276,0.383783783783784,2035,4
"220",9,23,1.55036770836961,1.61524125077656,0.372972972972973,2220,4
"221",9,25,1.50363676680528,1.57382480844895,0.345945945945946,2405,4
"222",9,27,1.4590132990762,1.53240836612135,0.345945945945946,2590,4
"223",9,29,1.42080388215007,1.49099192379375,0.32972972972973,2775,4
"224",9,31,1.36042017530517,1.42886726030234,0.318918918918919,2960,4
"225",9,33,1.29701270165317,1.36674259681093,0.32972972972973,3145,4
"226",9,35,1.2340633744871,1.30461793331953,0.340540540540541,3330,4
"227",9,37,2.75996606050844,1.30461793331953,0.302702702702703,3515,4
"228",9,39,2.68519655400552,1.26320149099192,0.313513513513514,3700,4
