"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","baitdensity"
"1",1,1,2.20432600237867,2.27790432801822,0.415977961432507,363,8
"2",1,3,2.16098534481019,2.23648788569062,0.421487603305785,726,8
"3",1,5,2.13331329706033,2.21577966452682,0.388429752066116,1089,8
"4",1,7,2.14027712364638,2.21577966452682,0.40771349862259,1452,8
"5",1,9,2.09886068131878,2.17436322219921,0.426997245179063,1815,8
"6",1,11,2.05185485186289,2.13294677987161,0.363636363636364,2178,8
"7",1,13,1.9963274977688,2.0708221163802,0.369146005509642,2541,8
"8",1,15,1.96627308829214,2.0501138952164,0.360881542699725,2904,8
"9",1,17,1.97167921682605,2.0501138952164,0.393939393939394,3267,8
"10",1,19,1.91248669084456,1.98798923172499,0.363636363636364,3630,8
"11",1,21,1.89177846968076,1.96728101056119,0.382920110192837,3993,8
"12",1,23,1.85036202735316,1.92586456823359,0.347107438016529,4356,8
"13",1,25,1.81251912761576,1.88444812590598,0.382920110192837,4719,8
"14",1,27,1.78823736386175,1.86373990474218,0.338842975206612,5082,8
"15",1,29,1.6903772744682,1.76019879892317,0.355371900826446,5445,8
"16",1,31,1.63155126567546,1.69807413543177,0.333333333333333,5808,8
"17",1,33,1.62257159455133,1.69807413543177,0.385674931129477,6171,8
"18",1,35,1.60186337338753,1.67736591426796,0.360881542699725,6534,8
"19",1,37,2.95559460999833,1.59453302961276,0.377410468319559,6897,8
"20",1,39,2.82703870604782,1.53240836612135,0.319559228650138,7260,8
"21",1,41,2.79451030554716,1.51170014495755,0.322314049586777,7623,8
"22",1,43,2.67933227898567,1.42886726030234,0.303030303030303,7986,8
"23",1,45,2.61830716706048,1.40815903913854,0.300275482093664,8349,8
"24",1,47,2.51568235421329,1.36674259681093,0.278236914600551,8712,8
"25",1,49,2.4259772722692,2.58852764547525,0.487603305785124,9075,8
"26",1,51,2.37933796000207,2.52640298198385,0.490358126721763,9438,8
"27",2,1,2.31162390938238,2.46427831849244,0.528925619834711,363,8
"28",2,3,2.18233497105438,2.31932077034583,0.462809917355372,726,8
"29",2,5,2.15750343151725,2.29861254918203,0.460055096418733,1089,8
"30",2,7,2.11544558410935,2.25719610685442,0.465564738292011,1452,8
"31",2,9,2.16950686944842,2.31932077034583,0.528925619834711,1815,8
"32",2,11,2.11544558410931,2.25719610685442,0.471074380165289,2178,8
"33",2,13,1.98670642156441,2.091530337544,0.391184573002755,2541,8
"34",2,15,1.85943332777448,1.94657278939739,0.410468319559229,2904,8
"35",2,17,1.80619670611002,1.88444812590598,0.388429752066116,3267,8
"36",2,19,1.75176890358215,1.84303168357838,0.316804407713499,3630,8
"37",2,21,1.70265560029102,1.78090702008697,0.363636363636364,3993,8
"38",2,23,1.59013482334787,1.67736591426796,0.34435261707989,4356,8
"39",2,25,1.49713108670513,1.57382480844895,0.303030303030303,4719,8
"40",2,27,1.47486516748918,1.55311658728515,0.305785123966942,5082,8
"41",2,29,1.3924904293199,1.44957548146614,0.289256198347107,5445,8
"42",2,31,1.3352221185793,1.40815903913854,0.316804407713499,5808,8
"43",2,33,1.28317667777824,1.36674259681093,0.300275482093664,6171,8
"44",2,35,1.23809506356324,1.32532615448333,0.272727272727273,6534,8
"45",2,37,2.43312435744965,1.28390971215573,0.308539944903581,6897,8
"46",2,39,2.30337727263571,1.22178504866432,0.283746556473829,7260,8
"47",2,41,2.25875380490666,1.22178504866432,0.278236914600551,7623,8
"48",2,43,2.13367981424916,1.18036860633672,0.28099173553719,7986,8
"49",2,45,2.0286726396752,1.07682750051771,0.258953168044077,8349,8
"50",2,47,1.97717697465725,1.09753572168151,0.253443526170799,8712,8
"51",2,49,1.8597998449633,2.0501138952164,0.415977961432507,9075,8
"52",2,51,1.82736307375982,2.0086974528888,0.40771349862259,9438,8
"53",3,1,1.79217742364078,1.96728101056119,0.396694214876033,363,8
"54",3,3,1.72391359723798,1.90515634706979,0.399449035812672,726,8
"55",3,5,1.67223467362566,1.86373990474218,0.402203856749311,1089,8
"56",3,7,1.51197503284914,1.69807413543177,0.396694214876033,1452,8
"57",3,9,1.37141569096738,1.49099192379375,0.432506887052342,1815,8
"58",3,11,1.31707951773669,1.42886726030234,0.289256198347107,2178,8
"59",3,13,1.34832510807677,1.49099192379375,0.292011019283747,2541,8
"60",3,15,1.33632167014553,1.47028370262994,0.330578512396694,2904,8
"61",3,17,1.25706232808052,1.38745081797474,0.292011019283747,3267,8
