"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","baitfreq"
"1",1,1,1.98194169811076,1.92586456823359,0,0,"autumn"
"2",1,3,1.98194169811076,1.92586456823359,0,0,"autumn"
"3",1,5,1.96123347694696,1.90515634706979,0,0,"autumn"
"4",1,7,1.94052525578315,1.88444812590598,0,0,"autumn"
"5",1,9,1.85769237112795,1.80161524125078,0,0,"autumn"
"6",1,11,1.82919565970342,1.78090702008697,0,0,"autumn"
"7",1,13,1.8147182307482,1.76019879892317,0.422222222222222,45,"autumn"
"8",1,15,1.77485948647274,1.71878235659557,0,45,"autumn"
"9",1,17,1.73490911290009,1.67736591426796,0,45,"autumn"
"10",1,19,1.69349267057249,1.63594947194036,0,45,"autumn"
"11",1,21,1.69202660181753,1.63594947194036,0,45,"autumn"
"12",1,23,1.65061015948992,1.59453302961276,0,45,"autumn"
"13",1,25,1.60919371716232,1.55311658728515,0,45,"autumn"
"14",1,27,1.56777727483472,1.51170014495755,0,45,"autumn"
"15",1,29,1.5465192778878,1.49099192379375,0,45,"autumn"
"16",1,31,1.48613557104291,1.42886726030234,0,45,"autumn"
"17",1,33,1.48494439017951,1.42886726030234,0,45,"autumn"
"18",1,35,1.4191545548007,1.36674259681093,0,45,"autumn"
"19",1,37,2.55453317621973,1.30461793331953,0,45,"autumn"
"20",1,39,2.44375335592309,1.24249326982812,0,45,"autumn"
"21",1,41,2.38254498540352,1.20107682750052,0,45,"autumn"
"22",1,43,2.29054917102982,1.15966038517291,0,45,"autumn"
"23",1,45,2.19507144336309,1.11824394284531,0,45,"autumn"
"24",1,47,2.09684483678078,1.09753572168151,0,45,"autumn"
"25",1,49,2.02390791622154,1.82232346241458,0,45,"autumn"
"26",1,51,1.97305365628388,1.78090702008697,0,45,"autumn"
"27",2,1,1.91230343225025,1.71878235659557,0,45,"autumn"
"28",2,3,1.91459416467988,1.71878235659557,0,45,"autumn"
"29",2,5,1.83221942651059,1.65665769310416,0,45,"autumn"
"30",2,7,1.82882914251473,1.67736591426796,0,45,"autumn"
"31",2,9,1.7448967062933,1.65665769310416,0,45,"autumn"
"32",2,11,1.7455381113736,1.69807413543177,0,45,"autumn"
"33",2,13,1.67874035372576,1.61524125077656,0.422222222222222,90,"autumn"
