"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","baitfreq"
"1",1,1,1.85837861972903,1.88444812590598,0.644444444444444,45,"quarterly"
"2",1,3,1.81659566021268,1.84303168357838,0,45,"quarterly"
"3",1,5,1.81696217740142,1.84303168357838,0,45,"quarterly"
"4",1,7,1.79662047342636,1.82232346241458,0,45,"quarterly"
"5",1,9,1.71754438995573,1.73949057775937,0,45,"quarterly"
"6",1,11,1.66119237218698,1.67736591426796,0,45,"quarterly"
"7",1,13,1.65083826160508,1.67736591426796,0.311111111111111,90,"quarterly"
"8",1,15,1.5556354218299,1.59453302961276,0,90,"quarterly"
"9",1,17,1.58046696136703,1.61524125077656,0,90,"quarterly"
"10",1,19,1.51559341896007,1.53240836612135,0,90,"quarterly"
"11",1,21,1.50633885994439,1.53240836612135,0,90,"quarterly"
"12",1,23,1.48563063878059,1.51170014495755,0,90,"quarterly"
"13",1,25,1.48086591532697,1.51170014495755,0.333333333333333,135,"quarterly"
"14",1,27,1.46492241761679,1.49099192379375,0,135,"quarterly"
"15",1,29,1.43101957765835,1.44957548146614,0,135,"quarterly"
"16",1,31,1.42350597528918,1.44957548146614,0,135,"quarterly"
"17",1,33,1.40279775412538,1.42886726030234,0,135,"quarterly"
"18",1,35,1.36193108758088,1.38745081797474,0,135,"quarterly"
"19",1,37,2.52835984970386,1.36674259681093,0,135,"quarterly"
"20",1,39,2.49189138942424,1.34603437564713,0.355555555555556,180,"quarterly"
"21",1,41,2.39687180824341,1.30461793331953,0,180,"quarterly"
"22",1,43,2.33905372171969,1.30461793331953,0,180,"quarterly"
"23",1,45,2.28596671697524,1.30461793331953,0,180,"quarterly"
"24",1,47,2.2132466966847,1.26320149099192,0,180,"quarterly"
"25",1,49,2.09596119628795,2.13294677987161,0,180,"quarterly"
"26",1,51,2.02143293600223,2.0708221163802,0,180,"quarterly"
"27",2,1,1.99623487927636,2.0501138952164,0.533333333333333,45,"quarterly"
"28",2,3,1.90997711589065,1.94657278939739,0,45,"quarterly"
"29",2,5,1.86911044934616,1.90515634706979,0,45,"quarterly"
"30",2,7,1.79159206392767,1.80161524125078,0,45,"quarterly"
"31",2,9,1.78208600990867,1.84303168357838,0,45,"quarterly"
"32",2,11,1.67847571462033,1.71878235659557,0,45,"quarterly"
"33",2,13,1.64552376236839,1.67736591426796,0.422222222222222,90,"quarterly"
"34",2,15,1.53611838152953,1.55311658728515,0,90,"quarterly"
"35",2,17,1.51724274630942,1.53240836612135,0,90,"quarterly"
"36",2,19,1.42392952704047,1.42886726030234,0,90,"quarterly"
"37",2,21,1.33609162577474,1.34603437564713,0,90,"quarterly"
"38",2,23,1.24437069929258,1.24249326982812,0,90,"quarterly"
"39",2,25,1.24895216415184,1.24249326982812,0.244444444444444,135,"quarterly"
"40",2,27,1.20203796399313,1.18036860633672,0,135,"quarterly"
"41",2,29,1.14231810205642,1.13895216400911,0,135,"quarterly"
"42",2,31,1.13003977623364,1.11824394284531,0,135,"quarterly"
"43",2,33,1.11244695117412,1.11824394284531,0,135,"quarterly"
"44",2,35,1.10300913356407,1.09753572168151,0,135,"quarterly"
"45",2,37,2.81755219654071,1.0561192793539,0,135,"quarterly"
"46",2,39,2.75496938656338,1.0354110581901,0.244444444444444,180,"quarterly"
"47",2,41,2.68441482773095,0.973286394698695,0,180,"quarterly"
"48",2,43,2.61001183841677,0.952578173534893,0,180,"quarterly"
"49",2,45,2.52708732446435,0.890453510043487,0,180,"quarterly"
"50",2,47,2.44920242185716,0.869745288879685,0,180,"quarterly"
"51",2,49,2.39248388689967,2.40215365500104,0,180,"quarterly"
"52",2,51,2.36774397665973,2.38144543383723,0,180,"quarterly"
"53",3,1,2.34969300511428,2.36073721267343,0.444444444444444,45,"quarterly"
"54",3,3,2.27959659276778,2.29861254918203,0,45,"quarterly"
"55",3,5,2.2082173702607,2.21577966452682,0,45,"quarterly"
"56",3,7,2.08534248273566,2.091530337544,0,45,"quarterly"
"57",3,9,1.84967193037585,1.86373990474218,0,45,"quarterly"
"58",3,11,1.83155367548175,1.84303168357838,0,45,"quarterly"
"59",3,13,1.73809179235309,1.76019879892317,0.555555555555556,90,"quarterly"
"60",3,15,1.64719552954561,1.65665769310416,0,90,"quarterly"
"61",3,17,1.55968955073395,1.57382480844895,0,90,"quarterly"
"62",3,19,1.51066787673999,1.51170014495755,0,90,"quarterly"
"63",3,21,1.41042542561964,1.42886726030234,0,90,"quarterly"
"64",3,23,1.38119567981764,1.38745081797474,0,90,"quarterly"
"65",3,25,1.33464799684767,1.32532615448333,0.422222222222222,135,"quarterly"
"66",3,27,1.25786264580668,1.26320149099192,0,135,"quarterly"
"67",3,29,1.21232288510575,1.22178504866432,0,135,"quarterly"
"68",3,31,1.16082722008779,1.15966038517291,0,135,"quarterly"
"69",3,33,1.1236257254307,1.11824394284531,0,135,"quarterly"
"70",3,35,1.11803633830242,1.11824394284531,0,135,"quarterly"
"71",3,37,2.47004520971827,1.09753572168151,0,135,"quarterly"
"72",3,39,2.43171052182062,1.07682750051771,0.222222222222222,180,"quarterly"
"73",3,41,2.35327584343031,1.07682750051771,0,180,"quarterly"
"74",3,43,2.28369556519258,1.0561192793539,0,180,"quarterly"
"75",3,45,2.24786850999326,1.0354110581901,0,180,"quarterly"
"76",3,47,2.22877597450445,1.0147028370263,0,180,"quarterly"
"77",3,49,2.15174937724622,2.17436322219921,0,180,"quarterly"
"78",3,51,2.1184879423681,2.15365500103541,0,180,"quarterly"
"79",4,1,2.0776212758236,2.11223855870781,0.555555555555556,45,"quarterly"
"80",4,3,2.00468435526437,2.0501138952164,0,45,"quarterly"
"81",4,5,1.94274295036734,1.98798923172499,0,45,"quarterly"
"82",4,7,1.88703233767886,1.94657278939739,0,45,"quarterly"
"83",4,9,1.73186100014452,1.76019879892317,0,45,"quarterly"
"84",4,11,1.68787893749573,1.71878235659557,0,45,"quarterly"
"85",4,13,1.66506324249668,1.69807413543177,0.444444444444444,90,"quarterly"
"86",4,15,1.58772811567257,1.61524125077656,0,90,"quarterly"
"87",4,17,1.51176742830622,1.53240836612135,0,90,"quarterly"
"88",4,19,1.48986802627901,1.51170014495755,0,90,"quarterly"
"89",4,21,1.48125487234361,1.49099192379375,0,90,"quarterly"
"90",4,23,1.39842198768841,1.40815903913854,0,90,"quarterly"
