"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","baitfreq"
"1",1,1,1.97867824562798,2.0294056740526,0,0,"spring"
"2",1,3,1.93423803649328,1.98798923172499,0,0,"spring"
"3",1,5,1.91692009932532,1.96728101056119,0,0,"spring"
"4",1,7,1.89428766292063,1.94657278939739,0,0,"spring"
"5",1,9,1.87550365699771,1.92586456823359,0,0,"spring"
"6",1,11,1.85039722956904,1.90515634706979,0,0,"spring"
"7",1,13,1.82180888884732,1.86373990474218,0,0,"spring"
"8",1,15,1.68683893409387,1.71878235659557,0,0,"spring"
"9",1,17,1.64771322419589,1.69807413543177,0,0,"spring"
"10",1,19,1.62700500303209,1.67736591426796,0,0,"spring"
"11",1,21,1.58558856070448,1.63594947194036,0,0,"spring"
"12",1,23,1.54737914377835,1.59453302961276,0,0,"spring"
"13",1,25,1.52346389721308,1.57382480844895,0,0,"spring"
"14",1,27,1.48158930839955,1.51170014495755,0,0,"spring"
"15",1,29,1.47865717088963,1.53240836612135,0,0,"spring"
"16",1,31,1.44063101255787,1.49099192379375,0,0,"spring"
"17",1,33,1.38627723821925,1.40815903913854,0,0,"spring"
"18",1,35,1.34551980207988,1.38745081797474,0,0,"spring"
"19",1,37,2.93044573283883,1.40815903913854,0,0,"spring"
"20",1,39,2.80473033710103,1.36674259681093,0.311111111111111,45,"spring"
"21",1,41,2.7371995450757,1.38745081797474,0,45,"spring"
"22",1,43,2.67938145855198,1.36674259681093,0,45,"spring"
"23",1,45,2.64666979945694,1.36674259681093,0,45,"spring"
"24",1,47,2.57015933630748,1.30461793331953,0,45,"spring"
"25",1,49,2.5395551510477,2.71277697245807,0,45,"spring"
"26",1,51,2.43498852185172,2.60923586663906,0,45,"spring"
"27",2,1,2.41079838739488,2.56781942431145,0,45,"spring"
"28",2,3,2.39201438147199,2.54711120314765,0,45,"spring"
"29",2,5,2.38010257283793,2.56781942431145,0,45,"spring"
"30",2,7,2.29452080926714,2.48498653965624,0,45,"spring"
"31",2,9,2.03480817882904,2.091530337544,0,45,"spring"
"32",2,11,1.97743063768332,2.0086974528888,0,45,"spring"
"33",2,13,1.92683366452927,1.96728101056119,0,45,"spring"
"34",2,15,1.90456774531333,1.94657278939739,0,45,"spring"
"35",2,17,1.81511995015285,1.82232346241458,0,45,"spring"
"36",2,19,1.78808930748328,1.82232346241458,0,45,"spring"
"37",2,21,1.74484027921197,1.78090702008697,0,45,"spring"
"38",2,23,1.65798992131267,1.67736591426796,0,45,"spring"
"39",2,25,1.61378238882026,1.65665769310416,0,45,"spring"
"40",2,27,1.59509001219453,1.63594947194036,0,45,"spring"
"41",2,29,1.52856714243823,1.57382480844895,0,45,"spring"
"42",2,31,1.43501363001238,1.47028370262994,0,45,"spring"
"43",2,33,1.38076908607888,1.40815903913854,0,45,"spring"
"44",2,35,1.30242603698573,1.36674259681093,0,45,"spring"
"45",2,37,2.68173626110844,1.36674259681093,0,45,"spring"
"46",2,39,2.56710801033004,1.32532615448333,0.222222222222222,90,"spring"
"47",2,41,2.37789351164307,1.24249326982812,0,90,"spring"
"48",2,43,2.29568041167221,1.22178504866432,0,90,"spring"
"49",2,45,2.13285515057452,1.11824394284531,0,90,"spring"
"50",2,47,2.10234259461191,1.13895216400911,0,90,"spring"
"51",2,49,2.02381628692438,2.13294677987161,0,90,"spring"
"52",2,51,1.93328654130563,2.0501138952164,0,90,"spring"
"53",3,1,1.86483945630847,1.98798923172499,0,90,"spring"
"54",3,3,1.71658325346316,1.80161524125078,0,90,"spring"
"55",3,5,1.643188186418,1.76019879892317,0,90,"spring"
"56",3,7,1.5445034333498,1.65665769310416,0,90,"spring"
"57",3,9,1.60818579489334,1.67736591426796,0,90,"spring"
"58",3,11,1.53918893411306,1.61524125077656,0,90,"spring"
"59",3,13,1.57639042877016,1.61524125077656,0,90,"spring"
"60",3,15,1.5383642704384,1.57382480844895,0,90,"spring"
"61",3,17,1.53937219270743,1.57382480844895,0,90,"spring"
"62",3,19,1.47275769365396,1.51170014495755,0,90,"spring"
"63",3,21,1.48613557104296,1.51170014495755,0,90,"spring"
"64",3,23,1.41787174464016,1.44957548146614,0,90,"spring"
"65",3,25,1.36628445032502,1.38745081797474,0,90,"spring"
"66",3,27,1.33824588538642,1.36674259681093,0,90,"spring"
"67",3,29,1.23406337448711,1.26320149099192,0,90,"spring"
"68",3,31,1.25183945814099,1.28390971215573,0,90,"spring"
"69",3,33,1.29857039970534,1.32532615448333,0,90,"spring"
"70",3,35,1.25715395737773,1.28390971215573,0,90,"spring"
"71",3,37,2.78928743560757,1.26320149099192,0,90,"spring"
"72",3,39,2.67291822818268,1.22178504866432,0.377777777777778,135,"spring"
"73",3,41,2.61128568106298,1.24249326982812,0,135,"spring"
"74",3,43,2.56180586058309,1.24249326982812,0,135,"spring"
"75",3,45,2.48053067398005,1.22178504866432,0,135,"spring"
"76",3,47,2.42472843199442,1.22178504866432,0,135,"spring"
"77",3,49,2.36112071480514,2.42286187616484,0,135,"spring"
"78",3,51,2.32017940390638,2.40215365500104,0,135,"spring"
"79",4,1,2.25823799900937,2.34002899150963,0,135,"spring"
"80",4,3,2.23303994228349,2.31932077034583,0,135,"spring"
"81",4,5,2.19116535346996,2.25719610685442,0,135,"spring"
"82",4,7,2.14910750606206,2.21577966452682,0,135,"spring"
"83",4,9,2.09110616094389,2.13294677987161,0,135,"spring"
"84",4,11,1.9618172226159,1.98798923172499,0,135,"spring"
"85",4,13,1.87825130358322,1.88444812590598,0,135,"spring"
"86",4,15,1.86698090002947,1.86373990474218,0,135,"spring"
"87",4,17,1.84590616167693,1.84303168357838,0,135,"spring"
"88",4,19,1.78423964467143,1.78090702008697,0,135,"spring"
"89",4,21,1.76756311258377,1.76019879892317,0,135,"spring"
"90",4,23,1.70992828465443,1.69807413543177,0,135,"spring"
"91",4,25,1.70662962995577,1.71878235659557,0,135,"spring"
"92",4,27,1.61536684995954,1.61524125077656,0,135,"spring"
"93",4,29,1.59832380068314,1.59453302961276,0,135,"spring"
"94",4,31,1.55397522084562,1.55311658728515,0,135,"spring"
"95",4,33,1.51732350197163,1.51170014495755,0,135,"spring"
"96",4,35,1.50247955582767,1.51170014495755,0,135,"spring"
"97",4,37,2.94448377551333,1.49099192379375,0,135,"spring"
"98",4,39,2.81512689741379,1.42886726030234,0.266666666666667,180,"spring"
"99",4,41,2.73382467265743,1.42886726030234,0,180,"spring"
"100",4,43,2.63367385083427,1.36674259681093,0,180,"spring"
"101",4,45,2.56302766270465,1.36674259681093,0,180,"spring"
"102",4,47,2.51849582427277,1.36674259681093,0,180,"spring"
"103",4,49,2.4889911905792,2.52640298198385,0,180,"spring"
"104",4,51,2.45050688576152,2.48498653965624,0,180,"spring"
"105",5,1,2.42741630287091,2.46427831849244,0,180,"spring"
"106",5,3,2.37756996520228,2.40215365500104,0,180,"spring"
"107",5,5,2.3567701147413,2.38144543383723,0,180,"spring"
"108",5,7,2.32011839586732,2.34002899150963,0,180,"spring"
"109",5,9,2.23169612408379,2.27790432801822,0,180,"spring"
"110",5,11,2.18230793290108,2.23648788569062,0,180,"spring"
"111",5,13,2.05574083533536,2.11223855870781,0,180,"spring"
"112",5,15,2.01157551409222,2.0501138952164,0,180,"spring"
"113",5,17,1.89044158321368,1.92586456823359,0,180,"spring"
"114",5,19,1.79624666570754,1.84303168357838,0,180,"spring"
"115",5,21,1.69591258528999,1.71878235659557,0,180,"spring"
"116",5,23,1.66145996954845,1.69807413543177,0,180,"spring"
"117",5,25,1.59008074704136,1.63594947194036,0,180,"spring"
"118",5,27,1.58824816109766,1.63594947194036,0,180,"spring"
"119",5,29,1.57828760585777,1.61524125077656,0,180,"spring"
"120",5,31,1.51249777047896,1.55311658728515,0,180,"spring"
"121",5,33,1.45403827887496,1.49099192379375,0,180,"spring"
"122",5,35,1.43653708311262,1.47028370262994,0,180,"spring"
"123",5,37,2.82410656853793,1.44957548146614,0,180,"spring"
"124",5,39,2.74049458173705,1.44957548146614,0.266666666666667,225,"spring"
"125",5,41,2.62614121885019,1.38745081797474,0,225,"spring"
"126",5,43,2.57776094993653,1.38745081797474,0,225,"spring"
"127",5,45,2.4974020563053,1.34603437564713,0,225,"spring"
"128",5,47,2.42272417909956,1.32532615448333,0,225,"spring"
"129",5,49,2.42299906699111,2.46427831849244,0,225,"spring"
"130",5,51,2.33778382060908,2.38144543383723,0,225,"spring"
"131",6,1,2.3219319521961,2.36073721267343,0,225,"spring"
"132",6,3,2.23570878354502,2.27790432801822,0,225,"spring"
"133",6,5,2.160389501259,2.21577966452682,0,225,"spring"
"134",6,7,2.05492418019908,2.11223855870781,0,225,"spring"
"135",6,9,2.05080086182573,2.11223855870781,0,225,"spring"
"136",6,11,2.01900549570255,2.0501138952164,0,225,"spring"
"137",6,13,1.95335285114992,1.98798923172499,0,225,"spring"
"138",6,15,1.79455927912836,1.82232346241458,0,225,"spring"
"139",6,17,1.72226376364943,1.71878235659557,0,225,"spring"
"140",6,19,1.63246705240815,1.63594947194036,0,225,"spring"
"141",6,21,1.65684044545936,1.65665769310416,0,225,"spring"
"142",6,23,1.62504507933616,1.63594947194036,0,225,"spring"
"143",6,25,1.60919321092317,1.61524125077656,0,225,"spring"
"144",6,27,1.59105061008054,1.59453302961276,0,225,"spring"
"145",6,29,1.49786361484342,1.51170014495755,0,225,"spring"
"146",6,31,1.49639754608847,1.51170014495755,0,225,"spring"
"147",6,33,1.42584298725604,1.44957548146614,0,225,"spring"
"148",6,35,1.43404406247371,1.44957548146614,0,225,"spring"
"149",6,37,2.61913031201751,1.38745081797474,0,225,"spring"
"150",6,39,2.61189159753989,1.38745081797474,0.444444444444444,270,"spring"
"151",6,41,2.56708487121644,1.34603437564713,0,270,"spring"
"152",6,43,2.5087170089096,1.32532615448333,0,270,"spring"
"153",6,45,2.47151551425251,1.34603437564713,0,270,"spring"
"154",6,47,2.41305602264848,1.30461793331953,0,270,"spring"
"155",6,49,2.33526325557767,2.42286187616484,0,270,"spring"
"156",6,51,2.25568295785291,2.36073721267343,0,270,"spring"
"157",7,1,2.18439536464302,2.29861254918203,0,270,"spring"
"158",7,3,2.12300373552909,2.23648788569062,0,270,"spring"
"159",7,5,2.01332346679871,2.11223855870781,0,270,"spring"
"160",7,7,1.98473512607698,2.0708221163802,0,270,"spring"
"161",7,9,1.78704517051999,1.84303168357838,0,270,"spring"
"162",7,11,1.70696167101954,1.73949057775937,0,270,"spring"
"163",7,13,1.72757826288615,1.73949057775937,0,270,"spring"
"164",7,15,1.71772836655837,1.73949057775937,0,270,"spring"
"165",7,17,1.7046709385899,1.71878235659557,0,270,"spring"
"166",7,19,1.72079769489444,1.73949057775937,0,270,"spring"
"167",7,21,1.6789231060809,1.69807413543177,0,270,"spring"
"168",7,23,1.59654836791162,1.61524125077656,0,270,"spring"
"169",7,25,1.5552235548812,1.57382480844895,0,270,"spring"
"170",7,27,1.51371548325641,1.53240836612135,0,270,"spring"
"171",7,29,1.53433207512304,1.55311658728515,0,270,"spring"
"172",7,31,1.52562729189046,1.55311658728515,0,270,"spring"
"173",7,33,1.4492084580382,1.47028370262994,0,270,"spring"
"174",7,35,1.41008274814022,1.42886726030234,0,270,"spring"
"175",7,37,2.67493255400319,1.36674259681093,0,270,"spring"
"176",7,39,2.65390388341883,1.38745081797474,0.4,315,"spring"
"177",7,41,2.5364351244277,1.34603437564713,0,315,"spring"
"178",7,43,2.52360702282181,1.34603437564713,0,315,"spring"
"179",7,45,2.40989506501526,1.24249326982812,0,315,"spring"
"180",7,47,2.29806176092061,1.18036860633672,0,315,"spring"
"181",7,49,2.26773246355239,2.29861254918203,0,315,"spring"
"182",7,51,2.22338388371485,2.25719610685442,0,315,"spring"
"183",8,1,2.15933500498255,2.19507144336302,0,315,"spring"
"184",8,3,2.06184143277776,2.091530337544,0,315,"spring"
"185",8,5,2.05167058079022,2.091530337544,0,315,"spring"
"186",8,7,2.02445667952628,2.0708221163802,0,315,"spring"
"187",8,9,2.08438274612439,2.11223855870781,0,315,"spring"
"188",8,11,2.02015060879775,2.0294056740526,0,315,"spring"
"189",8,13,1.94922953277658,1.96728101056119,0,315,"spring"
"190",8,15,1.93704283625097,1.94657278939739,0,315,"spring"
"191",8,17,1.87281069892431,1.90515634706979,0,315,"spring"
"192",8,19,1.81398469013155,1.86373990474218,0,315,"spring"
"193",8,21,1.76926959310528,1.80161524125078,0,315,"spring"
"194",8,23,1.74920277702177,1.78090702008697,0,315,"spring"
"195",8,25,1.74810322545556,1.78090702008697,0,315,"spring"
"196",8,27,1.70668678312795,1.73949057775937,0,315,"spring"
"197",8,29,1.63539918991804,1.67736591426796,0,315,"spring"
"198",8,31,1.55256630526284,1.59453302961276,0,315,"spring"
"199",8,33,1.52929246377786,1.57382480844895,0,315,"spring"
"200",8,35,1.46240307683283,1.49099192379375,0,315,"spring"
"201",8,37,2.80211300601751,1.40815903913854,0,315,"spring"
"202",8,39,2.68483539713918,1.42886726030234,0.222222222222222,360,"spring"
"203",8,41,2.59228980698235,1.38745081797474,0,360,"spring"
"204",8,43,2.58999907455274,1.38745081797474,0,360,"spring"
"205",8,45,2.51793288543635,1.32532615448333,0,360,"spring"
"206",8,47,2.40193019520019,1.28390971215573,0,360,"spring"
"207",8,49,2.39853991120435,2.42286187616484,0,360,"spring"
"208",8,51,2.32198388652591,2.34002899150963,0,360,"spring"
"209",9,1,2.31886849042162,2.34002899150963,0,360,"spring"
"210",9,3,2.18756370755553,2.19507144336302,0,360,"spring"
"211",9,5,2.153065530285,2.17436322219921,0,360,"spring"
"212",9,7,2.07105730930443,2.0708221163802,0,360,"spring"
"213",9,9,1.96287757090788,1.96728101056119,0,360,"spring"
"214",9,11,1.83478403435335,1.86373990474218,0,360,"spring"
"215",9,13,1.75969407842987,1.78090702008697,0,360,"spring"
"216",9,15,1.75071440730575,1.78090702008697,0,360,"spring"
"217",9,17,1.73522905608146,1.76019879892317,0,360,"spring"
"218",9,19,1.71085566303026,1.73949057775937,0,360,"spring"
"219",9,21,1.63168795026245,1.65665769310416,0,360,"spring"
"220",9,23,1.61097972909865,1.63594947194036,0,360,"spring"
"221",9,25,1.52846780010319,1.53240836612135,0,360,"spring"
"222",9,27,1.51664762076634,1.53240836612135,0,360,"spring"
"223",9,29,1.45718020689329,1.47028370262994,0,360,"spring"
"224",9,31,1.44233626074932,1.44957548146614,0,360,"spring"
"225",9,33,1.43491428767734,1.44957548146614,0,360,"spring"
"226",9,35,1.39862908599209,1.40815903913854,0,360,"spring"
"227",9,37,3.08364579345549,1.36674259681093,0,360,"spring"
"228",9,39,2.92902110133625,1.30461793331953,0.333333333333333,405,"spring"
"229",9,41,2.7995489044139,1.24249326982812,0,405,"spring"
"230",9,43,2.75575010035948,1.24249326982812,0,405,"spring"
"231",9,45,2.73504187919568,1.24249326982812,0,405,"spring"
"232",9,47,2.63479942807534,1.18036860633672,0,405,"spring"
"233",9,49,2.64726101249249,2.65065230896666,0,405,"spring"
"234",9,51,2.61115906940161,2.62994408780286,0,405,"spring"
"235",10,1,2.47884636426655,2.48498653965624,0,405,"spring"
"236",10,3,2.45548089348439,2.46427831849244,0,405,"spring"
"237",10,5,2.37493874125881,2.40215365500104,0,405,"spring"
"238",10,7,2.26690779987771,2.27790432801822,0,405,"spring"
"239",10,9,2.21788663212289,2.19507144336302,0,405,"spring"
"240",10,11,2.10953524132132,2.13294677987161,0,405,"spring"
"241",10,13,2.11856047397441,2.15365500103541,0,405,"spring"
"242",10,15,1.96966286604881,2.0086974528888,0,405,"spring"
"243",10,17,1.92183237291827,1.96728101056119,0,405,"spring"
"244",10,19,1.81893267217954,1.84303168357838,0,405,"spring"
"245",10,21,1.77751622985193,1.80161524125078,0,405,"spring"
"246",10,23,1.77751622985194,1.80161524125078,0,405,"spring"
"247",10,25,1.71621623003519,1.73949057775937,0,405,"spring"
"248",10,27,1.72803640937205,1.73949057775937,0,405,"spring"
"249",10,29,1.69789037059819,1.71878235659557,0,405,"spring"
"250",10,31,1.65656555756778,1.67736591426796,0,405,"spring"
"251",10,33,1.60039679839339,1.61524125077656,0,405,"spring"
"252",10,35,1.56731862210962,1.59453302961276,0,405,"spring"
"253",10,37,3.12167195178727,1.55311658728515,0,405,"spring"
"254",10,39,2.95994624225579,1.44957548146614,0.355555555555556,450,"spring"
"255",10,41,2.87161559976949,1.44957548146614,0,450,"spring"
"256",10,43,2.73962385029415,1.34603437564713,0,450,"spring"
"257",10,45,2.68963981556017,1.36674259681093,0,450,"spring"
"258",10,47,2.60914423734199,1.32532615448333,0,450,"spring"
"259",10,49,2.56259655437203,2.56781942431145,0,450,"spring"
"260",10,51,2.47518220485758,2.48498653965624,0,450,"spring"
"261",11,1,2.35239894662972,2.34002899150963,0,450,"spring"
"262",11,3,2.34048713799566,2.34002899150963,0,450,"spring"
"263",11,5,2.27772106942398,2.25719610685442,0,450,"spring"
"264",11,7,2.12918997868711,2.091530337544,0,450,"spring"
"265",11,9,2.122226152101,2.091530337544,0,450,"spring"
"266",11,11,2.16153512059338,2.15365500103541,0,450,"spring"
"267",11,13,2.08786516565666,2.091530337544,0,450,"spring"
"268",11,15,2.07989341680157,2.091530337544,0,450,"spring"
"269",11,17,2.0674318323844,2.091530337544,0,450,"spring"
"270",11,19,2.02464095059901,2.0501138952164,0,450,"spring"
"271",11,21,1.92109984478,1.94657278939739,0,450,"spring"
"272",11,23,1.87409401532411,1.90515634706979,0,450,"spring"
"273",11,25,1.82122391084837,1.82232346241458,0,450,"spring"
"274",11,27,1.73646681095228,1.73949057775937,0,450,"spring"
"275",11,29,1.65079341808434,1.65665769310416,0,450,"spring"
"276",11,31,1.60937697575674,1.61524125077656,0,450,"spring"
"277",11,33,1.58546172919146,1.59453302961276,0,450,"spring"
"278",11,35,1.4870518640148,1.49099192379375,0,450,"spring"
"279",11,37,2.98115918391294,1.47028370262994,0,450,"spring"
"280",11,39,2.89979236801273,1.44957548146614,0.355555555555556,495,"spring"
"281",11,41,2.82575589588724,1.42886726030234,0,495,"spring"
"282",11,43,2.75758369878163,1.40815903913854,0,495,"spring"
"283",11,45,2.66384692776141,1.36674259681093,0,495,"spring"
"284",11,47,2.61739087408862,1.36674259681093,0,495,"spring"
"285",11,49,2.50560313152297,2.50569476082005,0,495,"spring"
"286",11,51,2.45667308682618,2.44357009732864,0,495,"spring"
"287",12,1,2.31363975392049,2.31932077034583,0,495,"spring"
"288",12,3,2.27735455223524,2.27790432801822,0,495,"spring"
"289",12,5,2.20276830432668,2.19507144336302,0,495,"spring"
"290",12,7,2.16804080069356,2.17436322219921,0,495,"spring"
"291",12,9,1.95921763240898,1.98798923172499,0,495,"spring"
"292",12,11,1.96581494180629,2.0086974528888,0,495,"spring"
"293",12,13,1.9480388581524,1.98798923172499,0,495,"spring"
"294",12,15,1.89260313335547,1.92586456823359,0,495,"spring"
"295",12,17,1.91688489710947,1.94657278939739,0,495,"spring"
"296",12,19,1.81013676588898,1.84303168357838,0,495,"spring"
"297",12,21,1.74856187818068,1.78090702008697,0,495,"spring"
"298",12,23,1.70659566006997,1.73949057775937,0,495,"spring"
"299",12,25,1.62339625822602,1.65665769310416,0,495,"spring"
"300",12,27,1.60213826127911,1.63594947194036,0,495,"spring"
"301",12,29,1.52022166959575,1.55311658728515,0,495,"spring"
"302",12,31,1.49951344843195,1.53240836612135,0,495,"spring"
"303",12,33,1.47880522726815,1.51170014495755,0,495,"spring"
"304",12,35,1.45177458459858,1.49099192379375,0,495,"spring"
"305",12,37,2.55783183091839,1.44957548146614,0,495,"spring"
"306",12,39,2.46372854270942,1.36674259681093,0.355555555555556,540,"spring"
"307",12,41,2.40215365500114,1.34603437564713,0,540,"spring"
"308",12,43,2.26571763149271,1.22178504866432,0,540,"spring"
"309",12,45,2.12460851382785,1.18036860633672,0,540,"spring"
"310",12,47,2.07311284880989,1.13895216400911,0,540,"spring"
"311",12,49,2.01089655602131,2.0294056740526,0,540,"spring"
"312",12,51,1.96471539024007,1.98798923172499,0,540,"spring"
"313",13,1,1.92238265494063,1.96728101056119,0,540,"spring"
"314",13,3,1.83918325309667,1.86373990474218,0,540,"spring"
"315",13,5,1.7499363176385,1.78090702008697,0,540,"spring"
"316",13,7,1.76294767783877,1.80161524125078,0,540,"spring"
"317",13,9,1.76716262550926,1.82232346241458,0,540,"spring"
"318",13,11,1.7626727899472,1.82232346241458,0,540,"spring"
"319",13,13,1.71520881400539,1.78090702008697,0,540,"spring"
"320",13,15,1.62467906838665,1.67736591426796,0,540,"spring"
"321",13,17,1.64538728955045,1.69807413543177,0,540,"spring"
"322",13,19,1.61322540623851,1.65665769310416,0,540,"spring"
"323",13,21,1.59260881437189,1.63594947194036,0,540,"spring"
"324",13,23,1.47055859052151,1.51170014495755,0,540,"spring"
"325",13,25,1.44975874006052,1.49099192379375,0,540,"spring"
"326",13,27,1.40843392703011,1.44957548146614,0,540,"spring"
"327",13,29,1.31433063882114,1.34603437564713,0,540,"spring"
"328",13,31,1.27529655822034,1.30461793331953,0,540,"spring"
"329",13,33,1.25019013079166,1.28390971215573,0,540,"spring"
"330",13,35,1.25458833705654,1.28390971215573,0,540,"spring"
