"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","baitfreq"
"1",1,1,2.0076254676447,1.94657278939739,0.511111111111111,45,"summer"
"2",1,3,1.97895407376692,1.90515634706979,0,45,"summer"
"3",1,5,1.94999063971535,1.88444812590598,0,45,"summer"
"4",1,7,1.91031515403426,1.84303168357838,0,45,"summer"
"5",1,9,1.86037718706846,1.78090702008697,0,45,"summer"
"6",1,11,1.87541296794791,1.80161524125078,0,45,"summer"
"7",1,13,1.86514191052208,1.78090702008697,0,45,"summer"
"8",1,15,1.81639512441967,1.73949057775937,0,45,"summer"
"9",1,17,1.75885192578752,1.67736591426796,0,45,"summer"
"10",1,19,1.75197972849865,1.67736591426796,0,45,"summer"
"11",1,21,1.70708137287801,1.63594947194036,0,45,"summer"
"12",1,23,1.68857225484665,1.61524125077656,0,45,"summer"
"13",1,25,1.65072935510926,1.57382480844895,0,45,"summer"
"14",1,27,1.64843862267963,1.57382480844895,0,45,"summer"
"15",1,29,1.64843862267964,1.57382480844895,0,45,"summer"
"16",1,31,1.54361470670003,1.47028370262994,0,45,"summer"
"17",1,33,1.46930334668302,1.42886726030234,0,45,"summer"
"18",1,35,1.44937507058952,1.40815903913854,0,45,"summer"
"19",1,37,3.05975139247433,1.38745081797474,0,45,"summer"
"20",1,39,2.99726021179417,1.36674259681093,0,45,"summer"
"21",1,41,2.7587491512217,1.26320149099192,0,45,"summer"
"22",1,43,2.67473314102593,1.20107682750052,0,45,"summer"
"23",1,45,2.59795636612602,1.15966038517291,0,45,"summer"
"24",1,47,2.53774734173438,1.15966038517291,0,45,"summer"
"25",1,49,2.40497649011336,2.25719610685442,0,45,"summer"
"26",1,51,2.32946992157152,2.17436322219921,0,45,"summer"
"27",2,1,2.24838202122423,2.091530337544,0.511111111111111,45,"summer"
"28",2,3,2.14520743259395,2.0294056740526,0,45,"summer"
"29",2,5,2.0765770890024,1.94657278939739,0,45,"summer"
"30",2,7,2.03718506735398,1.90515634706979,0,45,"summer"
"31",2,9,1.90541811034055,1.78090702008697,0,45,"summer"
"32",2,11,1.80939463455212,1.71878235659557,0,45,"summer"
"33",2,13,1.76541257190334,1.67736591426796,0,45,"summer"
"34",2,15,1.67579911925643,1.59453302961276,0,45,"summer"
"35",2,17,1.57711436618823,1.51170014495755,0,45,"summer"
"36",2,19,1.5345983722944,1.47028370262994,0,45,"summer"
"37",2,21,1.47265696739737,1.38745081797474,0,45,"summer"
"38",2,23,1.44846683294053,1.36674259681093,0,45,"summer"
"39",2,25,1.34776623533425,1.26320149099192,0,45,"summer"
"40",2,27,1.348132752523,1.28390971215573,0,45,"summer"
