"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","baitfreq"
"1",1,1,1.98679805086157,2.0294056740526,0,0,"winter"
"2",1,3,1.93273676552244,1.96728101056119,0,0,"winter"
"3",1,5,1.90763033809376,1.92586456823359,0,0,"winter"
"4",1,7,1.78347264040813,1.80161524125078,0,0,"winter"
"5",1,9,1.73683332814098,1.78090702008697,0,0,"winter"
"6",1,11,1.72647921755908,1.76019879892317,0,0,"winter"
"7",1,13,1.69367592916686,1.71878235659557,0,0,"winter"
"8",1,15,1.6471282461969,1.67736591426796,0,0,"winter"
"9",1,17,1.59865634798606,1.63594947194036,0,0,"winter"
"10",1,19,1.59709864993391,1.63594947194036,0,0,"winter"
"11",1,21,1.55192540642172,1.59453302961276,0,0,"winter"
"12",1,23,1.52727712547897,1.55311658728515,0,0,"winter"
"13",1,25,1.51939700592106,1.55311658728515,0.444444444444444,45,"winter"
"14",1,27,1.47862196867375,1.51170014495755,0,45,"winter"
"15",1,29,1.38158654295487,1.42886726030234,0,45,"winter"
"16",1,31,1.37443945777445,1.40815903913854,0,45,"winter"
"17",1,33,1.37443945777445,1.40815903913854,0,45,"winter"
"18",1,35,1.3491497717514,1.38745081797474,0,45,"winter"
"19",1,37,2.59017697282471,1.32532615448333,0,45,"winter"
"20",1,39,2.47930552323088,1.28390971215573,0,45,"winter"
"21",1,41,2.41983810935784,1.26320149099192,0,45,"winter"
"22",1,43,2.34351090480275,1.24249326982812,0,45,"winter"
"23",1,45,2.25307278848118,1.20107682750052,0,45,"winter"
"24",1,47,2.13083930603643,1.15966038517291,0,45,"winter"
"25",1,49,2.03572809555842,2.0708221163802,0,45,"winter"
"26",1,51,1.92201613775187,1.94657278939739,0,45,"winter"
"27",2,1,1.84779640703205,1.86373990474218,0,45,"winter"
"28",2,3,1.82717981516544,1.84303168357838,0,45,"winter"
"29",2,5,1.77788325327991,1.78090702008697,0,45,"winter"
"30",2,7,1.72931972577187,1.73949057775937,0,45,"winter"
"31",2,9,1.76029042822038,1.80161524125078,0,45,"winter"
"32",2,11,1.72986950155497,1.78090702008697,0,45,"winter"
"33",2,13,1.68121434474975,1.69807413543177,0,45,"winter"
"34",2,15,1.65931494272254,1.67736591426796,0,45,"winter"
"35",2,17,1.60745276051585,1.63594947194036,0,45,"winter"
"36",2,19,1.52892645282832,1.59453302961276,0,45,"winter"
"37",2,21,1.5040949132912,1.55311658728515,0,45,"winter"
"38",2,23,1.46579386706788,1.49099192379375,0,45,"winter"
"39",2,25,1.41255724540342,1.44957548146614,0.355555555555556,90,"winter"
"40",2,27,1.38195306014364,1.40815903913854,0,90,"winter"
"41",2,29,1.31744603492543,1.36674259681093,0,90,"winter"
"42",2,31,1.2390113565351,1.26320149099192,0,90,"winter"
"43",2,33,1.19841957788216,1.22178504866432,0,90,"winter"
"44",2,35,1.12859805342721,1.15966038517291,0,90,"winter"
"45",2,37,2.58953556774435,1.15966038517291,0,90,"winter"
"46",2,39,2.47545709274908,1.07682750051771,0,90,"winter"
"47",2,41,2.38281987329512,1.0561192793539,0,90,"winter"
"48",2,43,2.35578923062555,1.0354110581901,0,90,"winter"
