"","year","week-of-year","total-fox-density","all-fox-but-cub-density","bait-take","bait-cost","baitfrequency"
"1",1,1,1.95208390983431,2.0086974528888,0,0,"autumn"
"2",1,3,1.92752725818874,1.96728101056119,0,0,"autumn"
"3",1,5,1.87768092052012,1.92586456823359,0,0,"autumn"
"4",1,7,1.81363204178783,1.86373990474218,0,0,"autumn"
"5",1,9,1.77249048735178,1.82232346241458,0,0,"autumn"
"6",1,11,1.74646776695125,1.80161524125078,0,0,"autumn"
"7",1,13,1.74500169819629,1.80161524125078,0.422222222222222,45,"autumn"
"8",1,15,1.7198427748161,1.76019879892317,0,45,"autumn"
"9",1,17,1.64952397052956,1.69807413543177,0,45,"autumn"
"10",1,19,1.64796627247742,1.69807413543177,0,45,"autumn"
"11",1,21,1.61461320830209,1.65665769310416,0,45,"autumn"
"12",1,23,1.59051470314244,1.63594947194036,0,45,"autumn"
"13",1,25,1.52677984564738,1.57382480844895,0,45,"autumn"
"14",1,27,1.49540349266445,1.53240836612135,0,45,"autumn"
"15",1,29,1.46214205778631,1.51170014495755,0,45,"autumn"
"16",1,31,1.44088406083939,1.49099192379375,0,45,"autumn"
"17",1,33,1.39900947202587,1.44957548146614,0,45,"autumn"
"18",1,35,1.39946761851179,1.44957548146614,0,45,"autumn"
"19",1,37,2.82542946651605,1.38745081797474,0,45,"autumn"
"20",1,39,2.74488731429045,1.34603437564713,0,45,"autumn"
"21",1,41,2.70530345790655,1.36674259681093,0,45,"autumn"
"22",1,43,2.67918910820883,1.36674259681093,0,45,"autumn"
"23",1,45,2.61825562558081,1.34603437564713,0,45,"autumn"
"24",1,47,2.59864695598324,1.34603437564713,0,45,"autumn"
"25",1,49,2.49386217334931,2.69206875129426,0,45,"autumn"
"26",1,51,2.3243479735571,2.50569476082005,0,45,"autumn"
"27",2,1,2.24142345960471,2.42286187616484,0,45,"autumn"
"28",2,3,2.19368459577135,2.36073721267343,0,45,"autumn"
"29",2,5,2.08748624033396,2.25719610685442,0,45,"autumn"
"30",2,7,2.03846456633999,2.19507144336302,0,45,"autumn"
"31",2,9,1.79438988937901,1.90515634706979,0,45,"autumn"
"32",2,11,1.75169063689083,1.84303168357838,0,45,"autumn"
"33",2,13,1.72704235594807,1.82232346241458,0.444444444444444,90,"autumn"
"34",2,15,1.62505894818119,1.71878235659557,0,90,"autumn"
"35",2,17,1.56604968079407,1.65665769310416,0,90,"autumn"
"36",2,19,1.55422950145721,1.63594947194036,0,90,"autumn"
"37",2,21,1.51143861967183,1.59453302961276,0,90,"autumn"
"38",2,23,1.48743174380937,1.57382480844895,0,90,"autumn"
"39",2,25,1.45866014449329,1.53240836612135,0,90,"autumn"
"40",2,27,1.43401186355054,1.51170014495755,0,90,"autumn"
"41",2,29,1.3915874989539,1.47028370262994,0,90,"autumn"
"42",2,31,1.37628540632401,1.44957548146614,0,90,"autumn"
"43",2,33,1.35090409100377,1.42886726030234,0,90,"autumn"
"44",2,35,1.30142427052388,1.36674259681093,0,90,"autumn"
"45",2,37,2.52878629818262,1.34603437564713,0,90,"autumn"
"46",2,39,2.51546091674513,1.34603437564713,0,90,"autumn"
"47",2,41,2.46149126070317,1.32532615448333,0,90,"autumn"
"48",2,43,2.39991637299488,1.30461793331953,0,90,"autumn"
"49",2,45,2.3339432790217,1.28390971215573,0,90,"autumn"
"50",2,47,2.28922818199543,1.28390971215573,0,90,"autumn"
"51",2,49,2.26861159012882,2.38144543383723,0,90,"autumn"
"52",2,51,2.14106360844732,2.23648788569062,0,90,"autumn"
"53",3,1,2.08113804808834,2.17436322219921,0,90,"autumn"
"54",3,3,2.02377810805055,2.11223855870781,0,90,"autumn"
"55",3,5,1.82589795947669,1.88444812590598,0,90,"autumn"
"56",3,7,1.76954594170794,1.82232346241458,0,90,"autumn"
"57",3,9,1.70094136885621,1.80161524125078,0,90,"autumn"
