"","year","week-of-year","total-fox-density","all-fox-but-cub-density","bait-take","bait-cost","baitfrequency"
"1",1,1,2.0867584926424,2.0294056740526,0,0,"spring"
"2",1,3,2.01061454668169,1.94657278939739,0,0,"spring"
"3",1,5,1.97011439732594,1.90515634706979,0,0,"spring"
"4",1,7,1.92750677413493,1.86373990474218,0,0,"spring"
"5",1,9,1.92090946473761,1.86373990474218,0,0,"spring"
"6",1,11,1.88636521969888,1.82232346241458,0,0,"spring"
"7",1,13,1.84265804494165,1.78090702008697,0,0,"spring"
"8",1,15,1.82424055620748,1.76019879892317,0,0,"spring"
"9",1,17,1.79592710337732,1.73949057775937,0,0,"spring"
"10",1,19,1.78273248458269,1.71878235659557,0,0,"spring"
"11",1,21,1.74140767155227,1.67736591426796,0,0,"spring"
"12",1,23,1.715018433963,1.65665769310416,0,0,"spring"
"13",1,25,1.67900812016931,1.61524125077656,0,0,"spring"
"14",1,27,1.6095531129031,1.55311658728515,0,0,"spring"
"15",1,29,1.57949870342643,1.51170014495755,0,0,"spring"
"16",1,31,1.55503368107805,1.49099192379375,0,0,"spring"
"17",1,33,1.50821111021653,1.44957548146614,0,0,"spring"
"18",1,35,1.39669825554243,1.34603437564713,0,0,"spring"
"19",1,37,3.08408689568027,1.32532615448333,0,0,"spring"
"20",1,39,3.00913413058298,1.32532615448333,0.311111111111111,45,"spring"
"21",1,41,2.8825940711706,1.28390971215573,0,45,"spring"
"22",1,43,2.83961993079084,1.28390971215573,0,45,"spring"
"23",1,45,2.79747045408576,1.26320149099192,0,45,"spring"
"24",1,47,2.70098480415,1.20107682750052,0,45,"spring"
"25",1,49,2.61934310035819,2.42286187616484,0,45,"spring"
"26",1,51,2.58415745023916,2.40215365500104,0,45,"spring"
"27",2,1,2.50856328006158,2.31932077034583,0,45,"spring"
"28",2,3,2.45074519353787,2.27790432801822,0,45,"spring"
"29",2,5,2.41152785434269,2.23648788569062,0,45,"spring"
"30",2,7,2.30083966334325,2.13294677987161,0,45,"spring"
"31",2,9,2.17132521249623,2.0294056740526,0,45,"spring"
"32",2,11,2.16111210658406,2.0294056740526,0,45,"spring"
"33",2,13,2.0266496736891,1.90515634706979,0,45,"spring"
"34",2,15,1.97936895634165,1.86373990474218,0,45,"spring"
"35",2,17,1.96699900122168,1.86373990474218,0,45,"spring"
"36",2,19,1.91183816431632,1.80161524125078,0,45,"spring"
"37",2,21,1.84888883715025,1.73949057775937,0,45,"spring"
"38",2,23,1.78364877755456,1.67736591426796,0,45,"spring"
"39",2,25,1.75735116926247,1.65665769310416,0,45,"spring"
"40",2,27,1.72463951016744,1.61524125077656,0,45,"spring"
"41",2,29,1.68047418892428,1.57382480844895,0,45,"spring"
"42",2,31,1.66599675996907,1.57382480844895,0,45,"spring"
"43",2,33,1.56841155846708,1.47028370262994,0,45,"spring"
"44",2,35,1.44791903266885,1.36674259681093,0,45,"spring"
"45",2,37,2.74835715079457,1.32532615448333,0,45,"spring"
"46",2,39,2.59320073963177,1.24249326982812,0.422222222222222,90,"spring"
"47",2,41,2.4895608830676,1.22178504866432,0,90,"spring"
"48",2,43,2.42752784887339,1.18036860633672,0,90,"spring"
"49",2,45,2.28037119759433,1.15966038517291,0,90,"spring"
"50",2,47,2.1683085671371,1.09753572168151,0,90,"spring"
"51",2,49,2.08295943753329,1.90515634706979,0,90,"spring"
"52",2,51,1.98230109385162,1.82232346241458,0,90,"spring"
"53",3,1,1.88865595212859,1.71878235659557,0,90,"spring"
"54",3,3,1.85026327660808,1.69807413543177,0,90,"spring"
"55",3,5,1.81874279837646,1.65665769310416,0,90,"spring"
