"","year","week-of-year","total-fox-density","all-fox-but-cub-density","bait-take","bait-cost","baitfrequency"
"1",1,1,1.81585134948269,1.82232346241458,0.377777777777778,45,"summer"
"2",1,3,1.76719619267748,1.78090702008697,0,45,"summer"
"3",1,5,1.75299365161381,1.76019879892317,0,45,"summer"
"4",1,7,1.69041084163648,1.69807413543177,0,45,"summer"
"5",1,9,1.66365508685847,1.67736591426796,0,45,"summer"
"6",1,11,1.60583700033476,1.61524125077656,0,45,"summer"
"7",1,13,1.55113430991533,1.55311658728515,0,45,"summer"
"8",1,15,1.52492833092043,1.53240836612135,0,45,"summer"
"9",1,17,1.48378677648438,1.49099192379375,0,45,"summer"
"10",1,19,1.4480803816467,1.44957548146614,0,45,"summer"
"11",1,21,1.46307855532058,1.47028370262994,0,45,"summer"
"12",1,23,1.46307855532058,1.47028370262994,0,45,"summer"
"13",1,25,1.41515643289284,1.42886726030234,0,45,"summer"
"14",1,27,1.35953744950157,1.36674259681093,0,45,"summer"
"15",1,29,1.38024567066537,1.38745081797474,0,45,"summer"
"16",1,31,1.37987915347663,1.38745081797474,0,45,"summer"
"17",1,33,1.27294776366177,1.28390971215573,0,45,"summer"
"18",1,35,1.19194746495027,1.18036860633672,0,45,"summer"
"19",1,37,2.36993824566412,1.13895216400911,0,45,"summer"
"20",1,39,2.25952494255623,1.11824394284531,0,45,"summer"
"21",1,41,2.1500279324202,1.09753572168151,0,45,"summer"
"22",1,43,2.07663286537502,1.07682750051771,0,45,"summer"
"23",1,45,1.94425756200717,1.0354110581901,0,45,"summer"
"24",1,47,1.90821821714903,1.07682750051771,0,45,"summer"
"25",1,49,1.85873839666917,1.90515634706979,0,45,"summer"
"26",1,51,1.8243774102248,1.88444812590598,0,45,"summer"
"27",2,1,1.76750464773737,1.82232346241458,0.355555555555556,45,"summer"
"28",2,3,1.69728757502921,1.73949057775937,0,45,"summer"
"29",2,5,1.62939026581516,1.65665769310416,0,45,"summer"
"30",2,7,1.54893974288676,1.57382480844895,0,45,"summer"
"31",2,9,1.55694052280632,1.57382480844895,0,45,"summer"
"32",2,11,1.54973083939316,1.57382480844895,0,45,"summer"
"33",2,13,1.52327900357114,1.55311658728515,0,45,"summer"
"34",2,15,1.5149407375273,1.55311658728515,0,45,"summer"
"35",2,17,1.39053718301456,1.40815903913854,0,45,"summer"
"36",2,19,1.34478513265482,1.36674259681093,0,45,"summer"
"37",2,21,1.33058259159115,1.36674259681093,0,45,"summer"
"38",2,23,1.32435179938258,1.36674259681093,0,45,"summer"
"39",2,25,1.29515108464502,1.32532615448333,0,45,"summer"
