"","year","week-of-year","total-fox-density","all-fox-but-cub-density","bait-take","bait-cost","baitfrequency"
"1",1,1,1.96701256895183,2.0294056740526,0,0,"winter"
"2",1,3,1.878321855559,1.92586456823359,0,0,"winter"
"3",1,5,1.82691781983824,1.88444812590598,0,0,"winter"
"4",1,7,1.77514726692873,1.84303168357838,0,0,"winter"
"5",1,9,1.75498882154804,1.82232346241458,0,0,"winter"
"6",1,11,1.72337671401922,1.78090702008697,0,0,"winter"
"7",1,13,1.69194786508478,1.73949057775937,0,0,"winter"
"8",1,15,1.63742198697751,1.69807413543177,0,0,"winter"
"9",1,17,1.57759450219794,1.61524125077656,0,0,"winter"
"10",1,19,1.58978119872355,1.65665769310416,0,0,"winter"
"11",1,21,1.53526176689849,1.59453302961276,0,0,"winter"
"12",1,23,1.51629450238121,1.57382480844895,0,0,"winter"
"13",1,25,1.494395100354,1.55311658728515,0.333333333333333,45,"winter"
"14",1,27,1.4169683442327,1.47028370262994,0,45,"winter"
"15",1,29,1.34787985415524,1.36674259681093,0,45,"winter"
"16",1,31,1.31533856109015,1.32532615448333,0,45,"winter"
"17",1,33,1.31286457006616,1.32532615448333,0,45,"winter"
"18",1,35,1.30452630402233,1.32532615448333,0,45,"winter"
"19",1,37,2.86359879562463,1.26320149099192,0,45,"winter"
"20",1,39,2.80568907980374,1.24249326982812,0,45,"winter"
"21",1,41,2.68592958838298,1.15966038517291,0,45,"winter"
"22",1,43,2.61235126274346,1.15966038517291,0,45,"winter"
"23",1,45,2.51687353507672,1.09753572168151,0,45,"winter"
"24",1,47,2.46317876692633,1.09753572168151,0,45,"winter"
"25",1,49,2.3553310841396,2.50569476082005,0,45,"winter"
"26",1,51,2.23245619661456,2.34002899150963,0,45,"winter"
"27",2,1,2.16043556902717,2.29861254918203,0,45,"winter"
"28",2,3,2.13038115955051,2.27790432801822,0,45,"winter"
"29",2,5,2.09079730316662,2.23648788569062,0,45,"winter"
"30",2,7,2.02537398497655,2.15365500103541,0,45,"winter"
"31",2,9,1.72382196794077,1.76019879892317,0,45,"winter"
"32",2,11,1.63604110123758,1.65665769310416,0,45,"winter"
"33",2,13,1.75149401569065,1.76019879892317,0,45,"winter"
"34",2,15,1.6234878875232,1.59453302961276,0,45,"winter"
"35",2,17,1.62889401605712,1.59453302961276,0,45,"winter"
"36",2,19,1.57318340336866,1.55311658728515,0,45,"winter"
"37",2,21,1.57556576509547,1.55311658728515,0,45,"winter"
"38",2,23,1.5796890834688,1.57382480844895,0,45,"winter"
"39",2,25,1.47284932295112,1.44957548146614,0.377777777777778,90,"winter"
"40",2,27,1.44462749941815,1.42886726030234,0,90,"winter"
"41",2,29,1.42181180441909,1.40815903913854,0,90,"winter"
"42",2,31,1.34209431586817,1.32532615448333,0,90,"winter"
"43",2,33,1.20300104274139,1.18036860633672,0,90,"winter"
"44",2,35,1.13785261244288,1.11824394284531,0,90,"winter"
"45",2,37,2.65633332539221,1.07682750051771,0,90,"winter"
"46",2,39,2.57615769035534,1.0561192793539,0,90,"winter"
"47",2,41,2.4614378102798,1.0354110581901,0,90,"winter"
"48",2,43,2.33277846703385,0.973286394698695,0,90,"winter"
"49",2,45,2.26607233868318,0.931869952371091,0,90,"winter"
"50",2,47,2.2013820548706,0.869745288879685,0,90,"winter"
"51",2,49,2.07759087437369,2.091530337544,0,90,"winter"
"52",2,51,2.01125126321178,2.0086974528888,0,90,"winter"
"53",3,1,1.93703153249194,1.92586456823359,0,90,"winter"
"54",3,3,1.86693512014543,1.84303168357838,0,90,"winter"
"55",3,5,1.82982525478551,1.82232346241458,0,90,"winter"
"56",3,7,1.73884917267912,1.73949057775937,0,90,"winter"
"57",3,9,1.85409520854118,1.90515634706979,0,90,"winter"
"58",3,11,1.77740148679737,1.76019879892317,0,90,"winter"
"59",3,13,1.66625514931202,1.63594947194036,0,90,"winter"
"60",3,15,1.55567039760804,1.53240836612135,0,90,"winter"
"61",3,17,1.54301374459822,1.53240836612135,0,90,"winter"
"62",3,19,1.47786531429971,1.47028370262994,0,90,"winter"
"63",3,21,1.4212384086394,1.42886726030234,0,90,"winter"
"64",3,23,1.40914334141099,1.40815903913854,0,90,"winter"
"65",3,25,1.36534453735658,1.36674259681093,0.4,135,"winter"
"66",3,27,1.33739760171516,1.34603437564713,0,135,"winter"
"67",3,29,1.32392809502896,1.32532615448333,0,135,"winter"
"68",3,31,1.21461434348729,1.20107682750052,0,135,"winter"
"69",3,33,1.22112002358743,1.22178504866432,0,135,"winter"
"70",3,35,1.23788818497228,1.24249326982812,0,135,"winter"
"71",3,37,2.86187860828555,1.22178504866432,0,135,"winter"
"72",3,39,2.69025693465808,1.18036860633672,0,135,"winter"
"73",3,41,2.62034378090598,1.13895216400911,0,135,"winter"
"74",3,43,2.55528697990465,1.11824394284531,0,135,"winter"
"75",3,45,2.50269176332049,1.11824394284531,0,135,"winter"
"76",3,47,2.40657263057345,1.09753572168151,0,135,"winter"
"77",3,49,2.27783346802855,2.44357009732864,0,135,"winter"
"78",3,51,2.2738934082496,2.46427831849244,0,135,"winter"
"79",4,1,2.20197621995769,2.38144543383723,0,135,"winter"
"80",4,3,2.17228832766976,2.34002899150963,0,135,"winter"
"81",4,5,2.13123840253088,2.29861254918203,0,135,"winter"
"82",4,7,2.08496560745246,2.25719610685442,0,135,"winter"
"83",4,9,1.94067308438264,2.0294056740526,0,135,"winter"
"84",4,11,1.85152958822001,1.90515634706979,0,135,"winter"
"85",4,13,1.73726785463035,1.78090702008697,0,135,"winter"
"86",4,15,1.6942020849534,1.76019879892317,0,135,"winter"
"87",4,17,1.64774603128062,1.69807413543177,0,135,"winter"
"88",4,19,1.65443496997512,1.71878235659557,0,135,"winter"
"89",4,21,1.63858310156212,1.69807413543177,0,135,"winter"
"90",4,23,1.57444259353263,1.61524125077656,0,135,"winter"
