"","year","week","total.fox.density","all.but.cub.density","bait.take","bait.cost","littersize"
"1",1,1,1.81041165378051,1.80161524125078,0.422222222222222,45,0.99999
"2",1,3,1.8080292920537,1.80161524125078,0.377777777777778,90,0.99999
"3",1,5,1.73087742382396,1.71878235659557,0.488888888888889,135,0.99999
"4",1,7,1.72849506209715,1.71878235659557,0.288888888888889,180,0.99999
"5",1,9,1.6611475286662,1.65665769310416,0.4,225,0.99999
"6",1,11,1.64740313408846,1.63594947194036,0.355555555555556,270,0.99999
"7",1,13,1.66307174390709,1.65665769310416,0.311111111111111,315,0.99999
"8",1,15,1.64236352274329,1.63594947194036,0.311111111111111,360,0.99999
"9",1,17,1.62110552579637,1.61524125077656,0.355555555555556,405,0.99999
"10",1,19,1.53057578017763,1.53240836612135,0.377777777777778,450,0.99999
"11",1,21,1.47614797764976,1.47028370262994,0.355555555555556,495,0.99999
"12",1,23,1.45626442016062,1.44957548146614,0.333333333333333,540,0.99999
"13",1,25,1.42226995090499,1.40815903913854,0.4,585,0.99999
"14",1,27,1.37920418122807,1.36674259681093,0.333333333333333,630,0.99999
"15",1,29,1.31891210368036,1.30461793331953,0.355555555555556,675,0.99999
"16",1,31,1.27731240275839,1.26320149099192,0.377777777777778,720,0.99999
"17",1,33,1.24515051944646,1.24249326982812,0.288888888888889,765,0.99999
"18",1,35,1.2223348244474,1.22178504866432,0.288888888888889,810,0.99999
"19",1,37,2.78772973755545,1.22178504866432,0.355555555555556,855,0.99999
"20",1,39,2.68134812352373,1.20107682750052,0.266666666666667,900,0.99999
"21",1,41,2.60108085918967,1.18036860633672,0.333333333333333,945,0.99999
"22",1,43,2.47820597166464,1.13895216400911,0.311111111111111,990,0.99999
"23",1,45,2.44870133797106,1.11824394284531,0.288888888888889,1035,0.99999
"24",1,47,2.39262420809391,1.09753572168151,0.311111111111111,1080,0.99999
"25",1,49,2.35139102436064,2.29861254918203,0.466666666666667,1125,0.99999
"26",1,51,2.2987041784793,2.23648788569062,0.444444444444444,1170,0.99999
"27",2,1,2.1646505166977,2.11223855870781,0.511111111111111,45,0.99999
"28",2,3,2.07586172772545,2.0294056740526,0.444444444444444,90,0.99999
"29",2,5,2.04369984441352,1.98798923172499,0.488888888888889,135,0.99999
"30",2,7,2.041958887767,1.98798923172499,0.511111111111111,180,0.99999
"31",2,9,1.97287039768949,1.94657278939739,0.577777777777778,225,0.99999
"32",2,11,1.87986666104673,1.86373990474218,0.377777777777778,270,0.99999
"33",2,13,1.882982057151,1.88444812590598,0.555555555555556,315,0.99999
"34",2,15,1.84843781211227,1.84303168357838,0.4,360,0.99999
"35",2,17,1.79318534590974,1.80161524125078,0.466666666666667,405,0.99999
