week,start,end
Week 1,1-Jan,7-Jan
Week 2,8-Jan,14-Jan
Week 3,15-Jan,21-Jan
Week 4,22-Jan,28-Jan
Week 5,29-Jan,4-Feb
Week 6,5-Feb,11-Feb
Week 7,12-Feb,18-Feb
Week 8,19-Feb,25-Feb
Week 9,26-Feb,4-Mar
Week 10,5-Mar,11-Mar
Week 11,12-Mar,18-Mar
Week 12,19-Mar,25-Mar
Week 13,26-Mar,1-Apr
Week 14,2-Apr,8-Apr
Week 15,9-Apr,15-Apr
Week 16,16-Apr,22-Apr
Week 17,23-Apr,29-Apr
Week 18,30-Apr,6-May
Week 19,7-May,13-May
Week 20,14-May,20-May
Week 21,21-May,27-May
Week 22,28-May,3-Jun
Week 23,4-Jun,10-Jun
Week 24,11-Jun,17-Jun
Week 25,18-Jun,24-Jun
Week 26,25-Jun,1-Jul
Week 27,2-Jul,8-Jul
Week 28,9-Jul,15-Jul
Week 29,16-Jul,22-Jul
Week 30,23-Jul,29-Jul
Week 31,30-Jul,5-Aug
Week 32,6-Aug,12-Aug
Week 33,13-Aug,19-Aug
Week 34,20-Aug,26-Aug
Week 35,27-Aug,2-Sep
Week 36,3-Sep,9-Sep
Week 37,10-Sep,16-Sep
Week 38,17-Sep,23-Sep
Week 39,24-Sep,30-Sep
Week 40,1-Oct,7-Oct
Week 41,8-Oct,14-Oct
Week 42,15-Oct,21-Oct
Week 43,22-Oct,28-Oct
Week 44,29-Oct,4-Nov
Week 45,5-Nov,11-Nov
Week 46,12-Nov,18-Nov
Week 47,19-Nov,25-Nov
Week 48,26-Nov,2-Dec
Week 49,3-Dec,9-Dec
Week 50,10-Dec,16-Dec
Week 51,17-Dec,23-Dec
Week 52,24-Dec,30-Dec
